"harmonized_component_id","vintages_present","n_vintages_present","spans_all_required_vintages","n_units","n_units_1991","n_units_2001","n_units_2011"
"geo_component_0001","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0002","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0003","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0004","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0005","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0006","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0007","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0008","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0009","1991|2001|2011",3,TRUE,5,2,2,1
"geo_component_0010","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0011","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0012","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0013","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0014","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0015","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0016","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0017","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0018","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0019","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0020","1991|2001",2,FALSE,2,1,1,0
"geo_component_0021","1991|2001",2,FALSE,2,1,1,0
"geo_component_0022","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0023","1991|2001|2011",3,TRUE,3,1,1,1
"geo_component_0024","2001|2011",2,FALSE,2,0,1,1
"geo_component_0025","2001|2011",2,FALSE,2,0,1,1
"geo_component_0026","2001|2011",2,FALSE,2,0,1,1
"geo_component_0027","2001|2011",2,FALSE,2,0,1,1
"geo_component_0028","2001|2011",2,FALSE,2,0,1,1
"geo_component_0029","2001|2011",2,FALSE,2,0,1,1
"geo_component_0030","2001|2011",2,FALSE,2,0,1,1
"geo_component_0031","2001|2011",2,FALSE,2,0,1,1
"geo_component_0032","2001|2011",2,FALSE,2,0,1,1
"geo_component_0033","2001|2011",2,FALSE,2,0,1,1
"geo_component_0034","2001|2011",2,FALSE,2,0,1,1
"geo_component_0035","2001|2011",2,FALSE,2,0,1,1
"geo_component_0036","2001|2011",2,FALSE,3,0,1,2
"geo_component_0037","2001|2011",2,FALSE,2,0,1,1
"geo_component_0038","2001|2011",2,FALSE,2,0,1,1
"geo_component_0039","2001|2011",2,FALSE,2,0,1,1
"geo_component_0040","2001|2011",2,FALSE,2,0,1,1
"geo_component_0041","2001|2011",2,FALSE,2,0,1,1
"geo_component_0042","2001|2011",2,FALSE,2,0,1,1
"geo_component_0043","2001|2011",2,FALSE,2,0,1,1
"geo_component_0044","2001|2011",2,FALSE,2,0,1,1
"geo_component_0045","2001|2011",2,FALSE,2,0,1,1
"geo_component_0046","2001|2011",2,FALSE,2,0,1,1
