"transition_id","source_vintage","source_state_code","source_district_code","source_unit_id","source_population_coverage","unallocated_population_share","allocation_status"
"shrug_1991_2001",1991,"04","18","census1991__04__18",0.992233318837808,0.00776668116219204,"partial_population_partition"
"shrug_1991_2001",1991,"04","19","census1991__04__19",0.944076955575451,0.055923044424549,"partial_population_partition"
"shrug_1991_2001",1991,"04","20","census1991__04__20",0.977323399482073,0.022676600517927,"partial_population_partition"
"shrug_1991_2001",1991,"04","21","census1991__04__21",0.996051923626898,0.00394807637310202,"partial_population_partition"
"shrug_1991_2001",1991,"04","22","census1991__04__22",0.999255572618445,0.000744427381555002,"partial_population_partition"
"shrug_1991_2001",1991,"04","23","census1991__04__23",0.999543806838658,0.000456193161342044,"partial_population_partition"
"shrug_1991_2001",1991,"05","01","census1991__05__01",0.99949491628927,0.000505083710729992,"partial_population_partition"
"shrug_1991_2001",1991,"05","02","census1991__05__02",0.995077064757419,0.00492293524258103,"partial_population_partition"
"shrug_1991_2001",1991,"05","03","census1991__05__03",0.999066464336959,0.000933535663040996,"partial_population_partition"
"shrug_1991_2001",1991,"05","04","census1991__05__04",0.999609754688702,0.000390245311298054,"partial_population_partition"
"shrug_1991_2001",1991,"05","05","census1991__05__05",0.99962457976316,0.000375420236840007,"partial_population_partition"
"shrug_1991_2001",1991,"05","06","census1991__05__06",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"05","07","census1991__05__07",0.999905605771188,9.4394228811967e-05,"partial_population_partition"
"shrug_1991_2001",1991,"05","08","census1991__05__08",0.999996319984691,3.68001530903772e-06,"partial_population_partition"
"shrug_1991_2001",1991,"05","09","census1991__05__09",0.999999611310099,3.88689901043016e-07,"partial_population_partition"
"shrug_1991_2001",1991,"05","10","census1991__05__10",0.999972350689113,2.76493108869458e-05,"partial_population_partition"
"shrug_1991_2001",1991,"05","11","census1991__05__11",0.998043196366858,0.00195680363314199,"partial_population_partition"
"shrug_1991_2001",1991,"05","12","census1991__05__12",0.997351357814845,0.00264864218515504,"partial_population_partition"
"shrug_1991_2001",1991,"05","13","census1991__05__13",0.999923012160774,7.69878392260503e-05,"partial_population_partition"
"shrug_1991_2001",1991,"05","14","census1991__05__14",0.999412083236637,0.000587916763363006,"partial_population_partition"
"shrug_1991_2001",1991,"05","15","census1991__05__15",0.999859787730817,0.000140212269183038,"partial_population_partition"
"shrug_1991_2001",1991,"05","16","census1991__05__16",0.99878771997637,0.00121228002363005,"partial_population_partition"
"shrug_1991_2001",1991,"05","17","census1991__05__17",0.994087700181147,0.005912299818853,"partial_population_partition"
"shrug_1991_2001",1991,"05","18","census1991__05__18",0.999531456287595,0.000468543712405012,"partial_population_partition"
"shrug_1991_2001",1991,"05","19","census1991__05__19",0.999960929261631,3.90707383689515e-05,"partial_population_partition"
"shrug_1991_2001",1991,"05","20","census1991__05__20",0.999793954053521,0.000206045946478994,"partial_population_partition"
"shrug_1991_2001",1991,"05","21","census1991__05__21",0.99471209624245,0.00528790375754995,"partial_population_partition"
"shrug_1991_2001",1991,"05","22","census1991__05__22",1,0,"complete_population_partition"
"shrug_1991_2001",1991,"05","23","census1991__05__23",0.997816463682802,0.00218353631719803,"partial_population_partition"
"shrug_1991_2001",1991,"05","24","census1991__05__24",0.978243434243829,0.021756565756171,"partial_population_partition"
"shrug_1991_2001",1991,"05","25","census1991__05__25",0.998692296705823,0.00130770329417695,"partial_population_partition"
"shrug_1991_2001",1991,"05","26","census1991__05__26",0.998196351429886,0.00180364857011395,"partial_population_partition"
"shrug_1991_2001",1991,"05","27","census1991__05__27",0.996467746801711,0.00353225319828898,"partial_population_partition"
"shrug_1991_2001",1991,"05","28","census1991__05__28",0.999262641346429,0.000737358653571052,"partial_population_partition"
"shrug_1991_2001",1991,"05","29","census1991__05__29",0.989203588473342,0.010796411526658,"partial_population_partition"
"shrug_1991_2001",1991,"05","30","census1991__05__30",0.999866952729441,0.000133047270558961,"partial_population_partition"
"shrug_1991_2001",1991,"05","31","census1991__05__31",0.999356991061104,0.000643008938896017,"partial_population_partition"
"shrug_1991_2001",1991,"05","32","census1991__05__32",0.98987420490878,0.01012579509122,"partial_population_partition"
"shrug_1991_2001",1991,"05","33","census1991__05__33",0.999923450368208,7.65496317920444e-05,"partial_population_partition"
"shrug_1991_2001",1991,"05","34","census1991__05__34",0.999694031571148,0.000305968428851999,"partial_population_partition"
"shrug_1991_2001",1991,"05","35","census1991__05__35",0.999379077354642,0.000620922645357957,"partial_population_partition"
"shrug_1991_2001",1991,"05","36","census1991__05__36",1,0,"complete_population_partition"
