"source_vintage","target_vintage","source_state_code","source_district_code","source_unit_id","target_state_code","target_district_code","target_unit_id","population_weight","area_weight","source_coverage","target_coverage","mapping_class","evidence_source","transition_id"
2011,2001,"32","593","census2011__32__593","32","06","census2001__32__06",1,1,1,1,"official_lgd_census_code_bridge","lgd_mod_districts_2001_2011","production_2011_2001"
2011,2001,"32","599","census2011__32__599","32","12","census2001__32__12",1,1,1,1,"official_lgd_census_code_bridge","lgd_mod_districts_2001_2011","production_2011_2001"
2011,2001,"32","601","census2011__32__601","32","14","census2001__32__14",1,1,1,1,"official_lgd_census_code_bridge","lgd_mod_districts_2001_2011","production_2011_2001"
2011,2001,"32","594","census2011__32__594","32","07","census2001__32__07",1,1,1,1,"official_lgd_census_code_bridge","lgd_mod_districts_2001_2011","production_2011_2001"
2011,2001,"32","590","census2011__32__590","32","03","census2001__32__03",1,1,1,1,"official_lgd_census_code_bridge","lgd_mod_districts_2001_2011","production_2011_2001"
2011,2001,"03","045","census2011__03__045","03","13","census2001__03__13",1,1,1,1,"official_lgd_census_code_bridge","lgd_mod_districts_2001_2011","production_2011_2001"
2011,2001,"33","616","census2011__33__616","33","17","census2001__33__17",1,1,1,1,"official_lgd_census_code_bridge","lgd_mod_districts_2001_2011","production_2011_2001"
2011,2001,"19","342","census2011__19__342","19","17","census2001__19__17",1,1,1,1,"official_lgd_census_code_bridge","lgd_mod_districts_2001_2011","production_2011_2001"
2011,2001,"01","003","census2011__01__003","01","07","census2001__01__07",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"01","004","census2011__01__004","01","08","census2001__01__08",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"03","047","census2011__03__047","03","15","census2001__03__15",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"08","103","census2011__08__103","08","05","census2001__08__05",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"08","115","census2011__08__115","08","17","census2001__08__17",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"08","117","census2011__08__117","08","19","census2001__08__19",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"08","118","census2011__08__118","08","20","census2001__08__20",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"12","254","census2011__12__254","12","13","census2001__12__13",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"14","279","census2011__14__279","14","08","census2001__14__08",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"24","480","census2011__24__480","24","13","census2001__24__13",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"24","485","census2011__24__485","24","18","census2001__24__18",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"24","489","census2011__24__489","24","23","census2001__24__23",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"25","494","census2011__25__494","25","01","census2001__25__01",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"25","495","census2011__25__495","25","02","census2001__25__02",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"26","496","census2011__26__496","26","01","census2001__26__01",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"33","603","census2011__33__603","33","02","census2001__33__02",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"34","634","census2011__34__634","34","01","census2001__34__01",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"34","636","census2011__34__636","34","03","census2001__34__03",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
2011,2001,"34","637","census2011__34__637","34","04","census2001__34__04",1,1,1,1,"deterministic_containment",NA,"production_2011_2001"
