"specification_id","adjustment_id","construction_id","instrument","fixed_effect","linear_slope","spearman_rho","isotonic_r_squared","n_bins","share_nondecreasing_bin_steps","n_negative_bin_steps","n_state_slopes","share_negative_state_slopes","n","status","reason","construct_id","treatment","analysis_scope"
"region_main__nonzero_mean_hindi_urdu_separate","region_main","nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean","region",3.94639463117929,0.204532191317276,0.0435655555087453,10,0.555555555555556,4,25,0.28,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_main__glottolog_mean","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean","region",-0.587094429194414,-0.0299428451459339,0.00334647021402723,10,0.222222222222222,7,25,0.52,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_main__glottolog_mean_shastry","region_main","glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean","region",-0.588705809874737,-0.0373684529443242,0.00265984593708801,10,0.333333333333333,6,25,0.52,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_main__dyen_noncognate","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct","region",-0.117276326752303,0.00037337985148443,0.00358884793824488,10,0.666666666666667,3,25,0.32,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_main__dyen_noncognate_shastry","region_main","dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct","region",-0.131109046290047,-0.0159803162676694,0.00139503614510339,10,0.444444444444444,5,25,0.32,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__nonzero_mean","region_expanded","nonzero_mean","ling_distance_nonzero_mean","region",5.8319169162414,0.253219985167219,0.0771581680784247,10,0.666666666666667,3,25,0.32,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__distant_share","region_expanded","distant_share","ling_share_distance_ge3","region",-0.0198483516916296,-0.0757408923053027,0.0361495623852205,10,0.333333333333333,6,25,0.56,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__top3_legacy","region_expanded","top3_legacy","ling_distance_top3_legacy","region",2.99977671247861,0.242568460795969,0.0796044651685511,10,0.666666666666667,3,25,0.36,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__nonzero_mean_hindi_urdu","region_expanded","nonzero_mean_hindi_urdu","ling_distance_nonzero_mean","region",5.83189952731523,0.253034788760882,0.0779988768640023,10,0.666666666666667,3,25,0.32,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"region_expanded__nonzero_mean_shastry","region_expanded","nonzero_mean_shastry","ling_distance_nonzero_mean","region",5.60255252623173,0.240757803212176,0.0772095351301555,10,0.666666666666667,3,25,0.36,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
