"specification_id","term","estimate","std.error","statistic","p.value","construct_id","treatment","analysis_scope","domain","margin","source_side","paper_role","label"
"unadjusted__distance_shares_mapped","ling_mapped_share_distance_3",0.0315897296547949,0.0488391173469138,0.646812050889594,0.518042317291011,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_mapped","ling_mapped_share_distance_4",0.499523435963508,0.0414143392684323,12.0616058299466,1.13194877638223e-29,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_mapped","ling_mapped_share_distance_5",0.320446622879704,0.0806387038719645,3.97385631828233,8.08322574230373e-05,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__glottolog_mean","ling_distance_glottolog_nonhindi_mean",1.44460268732556,0.365519087576789,3.95219493707583,8.81859156777459e-05,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean",0.997768465905964,0.395198805470938,2.52472540932145,0.0118775314017704,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__dyen_noncognate","ling_distance_dyen_noncognate_pct",0.242462042284329,0.0732708374160069,3.309120665671,0.00100100459348406,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct",0.153225170089504,0.0832406859528995,1.84074852742329,0.066232382129611,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean","ling_distance_nonzero_mean",3.90612955696652,2.35141806130096,1.66118038355348,0.0973003427500309,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distant_share","ling_share_distance_ge3",-0.0748542284373356,0.0948780759282212,-0.788951796345086,0.430511878853884,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__top3_legacy","ling_distance_top3_legacy",2.07602155711437,2.2725265578431,0.91353016313471,0.36140144219946,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_hindi_urdu","ling_distance_nonzero_mean",3.9090186727428,2.37434198071906,1.64635874043678,0.100315779525823,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_shastry","ling_distance_nonzero_mean",3.61334510272221,2.37595130138769,1.52079931125348,0.128941057087401,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low",3.65463424466464,2.36570493967176,1.54483941905778,0.123016506581364,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high",0.937922860568335,1.94926552424099,0.481167316050258,0.630607662970575,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean",3.94669448865746,2.43749489446038,1.61916010475632,0.106042107754175,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all","ling_share_distance_1",0.00889221492124125,0.0517180917649717,0.17193625321002,0.863557350816602,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all","ling_share_distance_2",0.0686019537400712,0.0740668601007067,0.926216578464308,0.354781169855524,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all","ling_share_distance_3",-0.254985996333162,0.124557797720269,-2.0471299348581,0.0411685180149176,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all","ling_share_distance_4",0.65858630149417,0.0895170241644288,7.35710673630582,7.78041543261244e-13,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all","ling_share_distance_5",-0.072555153662834,0.144340080180467,-0.502668098646745,0.615419408948856,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all_unmapped","ling_share_distance_1",0.0183585812345609,0.0501994332326119,0.365712918500329,0.714734907423564,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all_unmapped","ling_share_distance_2",0.0669859444035496,0.0611705522568361,1.0950684918177,0.274017023450532,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all_unmapped","ling_share_distance_3",-0.233551911362034,0.120371169658744,-1.9402645336434,0.052912786706324,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all_unmapped","ling_share_distance_4",0.651215593140547,0.0937026445409361,6.94981018231613,1.15350702460082e-11,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_all_unmapped","ling_share_distance_5",-0.039865922058174,0.151134784434145,-0.263777278059671,0.792060876715402,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_mapped","ling_mapped_share_distance_1",0.026650145977644,0.052092237314796,0.511595342250245,0.609160555181457,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_mapped","ling_mapped_share_distance_2",0.0727915307835698,0.0695666875940176,1.04635614115152,0.295903209835221,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_mapped","ling_mapped_share_distance_3",-0.141512438879566,0.0809316546637992,-1.74854251364843,0.0809850446118902,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_mapped","ling_mapped_share_distance_4",0.58919610537798,0.0917845808661241,6.41933644865006,3.18911675186718e-10,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distance_shares_mapped","ling_mapped_share_distance_5",0.0586326229726069,0.144618572863231,0.40542941208566,0.685335662652928,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__glottolog_mean","ling_distance_glottolog_nonhindi_mean",-0.586668255403179,0.631805119409034,-0.928558882131132,0.353563107311057,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean",-0.58828403273044,0.627662609078415,-0.937261554570227,0.349075622167376,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__dyen_noncognate","ling_distance_dyen_noncognate_pct",-0.117278898951188,0.158442713559964,-0.74019749041222,0.459525517528897,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct",-0.131111285779365,0.156148973015419,-0.839655127071624,0.401502268795266,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean","ling_distance_nonzero_mean",5.83230651681787,2.11473685990187,2.75793486528083,0.0060297345951611,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distant_share","ling_share_distance_ge3",-0.0198497329173119,0.0801752206559291,-0.247579398658555,0.804561485539726,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__top3_legacy","ling_distance_top3_legacy",3.00081175980336,1.91436883350607,1.56752017024197,0.117625776687823,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_hindi_urdu","ling_distance_nonzero_mean",5.83229019589297,2.11752937621783,2.75429009929966,0.00609670106277493,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
