"specification_id","adjustment_id","construction_id","fixed_effect","tested_variable","n_excluded_instruments","excluded_instruments","estimate","std.error","p.value","standardized_effect","joint_f","joint_p","n","status","reason","construct_id","treatment","analysis_scope","domain","margin","source_side","paper_role","label"
"state_main__distance_shares_mapped","state_main","distance_shares_mapped","state","log_population_2001",5,"ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",NA,NA,NA,NA,2.89999179739309,0.013793773081925,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv","medium","pooled_enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE pooled 2005-06 to 2007-08 English-medium enrollment / total enrollment"
"state_main__distance_shares_mapped","state_main","distance_shares_mapped","state","urban_share_2001",5,"ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",NA,NA,NA,NA,2.8124384129241,0.0163996534816001,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv","medium","pooled_enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE pooled 2005-06 to 2007-08 English-medium enrollment / total enrollment"
"state_main__distance_shares_mapped","state_main","distance_shares_mapped","state","adult_secondary_plus_share_2001",5,"ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",NA,NA,NA,NA,4.619510128637,0.000410117726524475,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv","medium","pooled_enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE pooled 2005-06 to 2007-08 English-medium enrollment / total enrollment"
"state_main__distance_shares_mapped","state_main","distance_shares_mapped","state","sc_share_2001",5,"ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",NA,NA,NA,NA,3.67599719533116,0.00288622534599268,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv","medium","pooled_enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE pooled 2005-06 to 2007-08 English-medium enrollment / total enrollment"
"state_main__distance_shares_mapped","state_main","distance_shares_mapped","state","st_share_2001",5,"ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",NA,NA,NA,NA,5.57935755073607,5.46818295124186e-05,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv","medium","pooled_enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE pooled 2005-06 to 2007-08 English-medium enrollment / total enrollment"
"state_main__distance_shares_mapped","state_main","distance_shares_mapped","state","muslim_share_2001",5,"ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",NA,NA,NA,NA,8.05315532348397,2.90642956202027e-07,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv","medium","pooled_enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE pooled 2005-06 to 2007-08 English-medium enrollment / total enrollment"
"state_main__distance_shares_mapped","state_main","distance_shares_mapped","state","agricultural_worker_share_2001",5,"ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",NA,NA,NA,NA,1.0347462333909,0.396637477844311,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv","medium","pooled_enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE pooled 2005-06 to 2007-08 English-medium enrollment / total enrollment"
"state_main__distance_shares_mapped","state_main","distance_shares_mapped","state","dependency_ratio_2001",5,"ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",NA,NA,NA,NA,4.27616565355011,0.00083796025555956,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv","medium","pooled_enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE pooled 2005-06 to 2007-08 English-medium enrollment / total enrollment"
"state_main__distance_shares_mapped","state_main","distance_shares_mapped","state","electricity_access_share_2001",5,"ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",NA,NA,NA,NA,5.70105298451948,4.23005569801297e-05,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv","medium","pooled_enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE pooled 2005-06 to 2007-08 English-medium enrollment / total enrollment"
"state_main__distance_shares_mapped","state_main","distance_shares_mapped","state","log_population_density_2001",5,"ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",NA,NA,NA,NA,5.11771325307763,0.00014448656997595,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv","medium","pooled_enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE pooled 2005-06 to 2007-08 English-medium enrollment / total enrollment"
