"state_key","district_key","target_unit_2001","n_candidate_targets","bridge_status","bridge_sources"
"punjab","faridkot","pc2001__03__13",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","fatehgarh sahib","pc2001__03__08",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","fazilka",NA,0,"unresolved_no_deterministic_lineage",NA
"punjab","ferozepur",NA,0,"unresolved_no_deterministic_lineage",NA
"punjab","firozpur","pc2001__03__11",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","gurdaspur","pc2001__03__01",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","hoshiarpur","pc2001__03__05",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","jalandhar","pc2001__03__04",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","kapurthala","pc2001__03__03",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","ludhiana","pc2001__03__09",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","mansa","pc2001__03__15",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","moga","pc2001__03__10",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","mohali",NA,0,"unresolved_no_deterministic_lineage",NA
"punjab","muktsar","pc2001__03__12",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","nawanshahr","pc2001__03__06",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","pathankot","pc2001__03__01",1,"deterministic_to_2001","reviewed_deterministic_nss_lineage"
"punjab","patiala","pc2001__03__17",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","ropar",NA,0,"unresolved_no_deterministic_lineage",NA
"punjab","rupnagar","pc2001__03__07",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","sangrur","pc2001__03__16",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"punjab","taran taran",NA,0,"unresolved_no_deterministic_lineage",NA
"rajasthan","ajmer","pc2001__08__21",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","alwar","pc2001__08__06",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","banswara","pc2001__08__28",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","baran","pc2001__08__31",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","barmer","pc2001__08__17",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","bharatpur","pc2001__08__07",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","bhilwara","pc2001__08__24",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","bikaner","pc2001__08__03",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","bundi","pc2001__08__23",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"rajasthan","chittaurgarh","pc2001__08__29",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
