"target_unit_2001","dise_source_district_count_0708","dise_emi_enrollment_share_total_0708","dise_hindi_enrollment_share_total_0708","dise_english_share_english_hindi_0708","dise_private_enrollment_share_0708","dise_private_school_share_0708","dise_emi_gross_enrollment_ratio_age_6_13_0708","dise_elementary_gross_enrollment_ratio_age_6_13_0708","dise_english_identity_resolved_0708","dise_hindi_identity_resolved_0708","dise_baseline_years_observed","dise_emi_enrollment_share_total_0508_pooled","dise_age_6_13_baseline_years_observed","dise_emi_gross_enrollment_ratio_age_6_13_0508_pooled"
"pc2001__01__01",1,0,0,NA,23.1895071353848,12.8787878787879,0,55.4732712725298,TRUE,TRUE,3,64.3476774204578,3,35.2055295943209
"pc2001__01__06",2,13.5718431172607,0,100,31.4481441906632,19.7105788423154,8.6916723687597,64.0419454724291,TRUE,TRUE,3,64.3347679816566,3,40.005779221355
"pc2001__01__07",1,96.8936024632227,2.0321587410195,97.9457739659704,39.2541908997605,10.6442577030812,86.3289622808212,89.0966586917733,TRUE,TRUE,3,98.8461717045085,3,84.4196022282341
"pc2001__01__08",1,38.9953514846789,0.265629446921544,99.3234263622085,34.0432596527844,13.7142857142857,34.1713128878622,87.6291957550069,TRUE,TRUE,3,35.1076066481071,3,28.9287319533797
"pc2001__01__11",1,0,0.148015424765318,0,20.823433178826,11.6367076631977,0,85.0625048840844,TRUE,TRUE,3,28.3361700380103,3,23.1769135558506
"pc2001__02__01",1,6.7291421227375,92.4526079040377,6.78465758158219,6.34250830031059,4.33962264150943,7.03158241330704,104.494485107509,TRUE,TRUE,3,6.24165410295068,3,6.4529963071179
"pc2001__02__02",1,16.5160940831091,82.586149652256,16.6657115526187,28.9828923915703,18.2109650529016,17.6571946157046,106.909021750866,TRUE,TRUE,3,15.175645946452,3,16.0048773205958
"pc2001__02__04",1,8.28838759628886,87.6514048003359,8.63915523396572,16.5990840255633,12.6027397260274,9.48109628322475,114.390117173935,TRUE,TRUE,3,6.22931477971189,3,7.1077852713571
"pc2001__02__09",1,14.55384649118,80.6288577286132,15.29043181792,24.1599333428349,12.7467105263158,16.0008936170355,109.942712579334,TRUE,TRUE,3,11.6577306294256,3,12.6483254225385
"pc2001__02__10",1,0,0.0426949022286739,0,13.0251472974127,6.98005698005698,0,107.627906013698,TRUE,TRUE,2,NA,2,NA
"pc2001__02__12",1,2.19664485067329,85.87978635372,2.49402118209771,10.2083803505604,7.45762711864407,2.59617547995319,118.188221421294,TRUE,TRUE,3,6.46177131139537,3,7.69992434798969
"pc2001__03__03",1,9.78307520631767,5.60767146133,63.564656202693,15.5145985848999,3.24675324675325,6.53631302509209,66.812458120235,TRUE,TRUE,3,6.33233752877222,3,4.16640873535269
"pc2001__03__04",1,6.1463930334703,8.5365056183449,41.8608966745843,15.5526249822894,5.80182529335072,3.65742609815086,59.5052428023115,TRUE,TRUE,3,4.29375324250405,3,2.53837423055083
"pc2001__03__08",1,4.9209455989117,0.101333999639084,97.9823106688778,25.0364385957606,6.57276995305164,4.17502288730759,84.8418825892105,TRUE,TRUE,3,2.84073829134852,3,1.82508699722234
"pc2001__03__10",1,0.281449285688838,2.54996615483273,9.94023277760302,16.3196052584702,7.63358778625954,0.211262140648815,75.0622408338175,TRUE,TRUE,3,0.99427348813794,3,0.763399170917547
"pc2001__03__12",1,7.8391697082942,0.1094017756005,98.6236297198538,19.5974401920824,13.2669983416252,6.00253083827143,76.5710025631985,TRUE,TRUE,3,6.23879010271095,3,4.44935811199303
"pc2001__03__13",1,12.9181690705128,2.65549879807692,82.9487900956669,28.4843249198718,12.6609442060086,11.1534474364306,86.3392279165133,TRUE,TRUE,3,11.6051376933125,3,9.98647464233325
"pc2001__03__14",1,7.41220099383714,7.3290459297608,50.2820489491402,24.6199344147962,21.9424460431655,5.59095251392006,75.4290462248481,TRUE,TRUE,3,6.47486431395663,3,5.26906403789692
"pc2001__03__15",1,4.09403193075964,0,100,8.52913131708271,3.90946502057613,2.81738331664651,68.8168378824477,TRUE,TRUE,3,4.95908235303561,3,3.40733740300484
"pc2001__05__08",1,NA,100,NA,20.0252657257362,13.5103926096998,NA,99.4449707125206,FALSE,TRUE,1,NA,1,NA
"pc2001__05__09",1,3.26500511204599,95.7117476492969,3.29875957834131,19.3402946549788,12.375533428165,3.42615967944417,104.935813631765,TRUE,TRUE,3,1.65272986901565,3,1.61770251329392
"pc2001__05__13",1,3.20776293546356,95.786651861182,3.24034738934812,45.359060625145,39.5678092399404,2.28961322179277,71.3772578540593,TRUE,TRUE,3,2.22616214576242,3,1.40450164460533
"pc2001__06__01",1,13.5484871459094,83.2000827072851,14.0038112878235,25.4273209731891,10.4545454545455,9.56201045280822,70.5762226426527,TRUE,TRUE,3,6.55306788983591,3,4.05373631405222
"pc2001__06__02",1,3.29553097242515,95.7474276614331,3.3273753307472,24.0435384246697,12.4335812964931,2.60606548314675,79.0787737985957,TRUE,TRUE,3,1.41105675341096,3,0.855351331803064
"pc2001__06__03",1,1.08820528845712,97.7905021001259,1.10054562523819,17.9866363978934,11.2293144208038,0.635956097833921,58.440820365392,TRUE,TRUE,3,0.472278122237842,3,0.25735652277723
"pc2001__06__04",1,3.35178850206021,96.4204366111874,3.35944046377208,32.3952192866466,16.647791619479,2.68299032448766,80.0465280801141,TRUE,TRUE,3,1.64850305176286,3,1.07945542145371
"pc2001__06__05",1,0.056909737319999,99.9277438166611,0.0569184722826226,24.4846151878661,18.1818181818182,0.0503007137903055,88.3868317779583,TRUE,TRUE,2,NA,2,NA
"pc2001__06__06",1,0.174883411059294,47.1988371388771,0.369157011586097,4.95200169583914,3.55781448538755,0.0955889327396822,54.6586621113383,TRUE,TRUE,3,1.49874131883632,3,0.87874399045969
"pc2001__06__07",1,9.93207589146047,89.1703803611032,10.0220279769338,37.8796832525706,29.4788273615635,7.07845737470717,71.2686597652075,TRUE,TRUE,3,4.67355405312949,3,2.48903940151023
"pc2001__06__08",1,10.3312898093495,88.697810044581,10.4325797412966,34.4408907520132,24.157844080847,7.97881136289557,77.2295764627082,TRUE,TRUE,3,4.86277854882454,3,2.85743217668775
"pc2001__06__09",1,0.633741130269663,97.4509262144256,0.646116408839448,21.3878813175701,13.1991051454139,0.475959416110802,75.1031286084077,TRUE,TRUE,3,0.23316829862846,3,0.156796514738833
"pc2001__06__10",1,1.73981736619864,96.9510876209643,1.76289534119172,9.06585914062427,7.3134328358209,1.17149020933297,67.3340910427041,TRUE,TRUE,3,0.80634310427679,3,0.526358325143768
"pc2001__06__11",1,5.36187949981053,93.6044178944787,5.41788431110886,18.1770055502307,11.2359550561798,4.56467277311505,85.1319536978843,TRUE,TRUE,3,2.78636965217779,3,2.34417911030786
"pc2001__06__14",1,14.7942502412537,84.2897060306212,14.9310249589348,42.7472669921791,35.693215339233,12.2840280130393,83.0324471515653,TRUE,TRUE,3,9.60040483106201,3,6.48272079652458
"pc2001__06__15",1,4.266592080553,95.4617013625285,4.27821627469049,39.4597834338914,23.8993710691824,3.48573970882773,81.6984526061356,TRUE,TRUE,2,NA,2,NA
"pc2001__06__16",1,2.33689625779783,26.5439129811645,8.09151931464988,34.0132308458237,17.201166180758,2.03362015751924,87.0222694196796,TRUE,TRUE,2,NA,2,NA
"pc2001__06__17",1,2.98145155885835,95.8279038251041,3.01737780524198,44.1908605553363,23.5487404162103,2.83182196370621,94.9813172477156,TRUE,TRUE,3,1.8256109458369,3,1.42186679287251
"pc2001__08__02",1,2.64543004165646,94.6000163358654,2.72036392468855,48.3430531732419,37.1083258728738,2.57302393290605,97.2629739735975,TRUE,TRUE,3,1.9897618374049,3,1.94894265481626
"pc2001__08__05",1,3.15450463162377,94.3539243790258,3.23510968603467,53.7956540466678,32.0501603966171,3.21775229798456,102.004995197241,TRUE,TRUE,3,1.51670135952644,3,1.5522079151975
"pc2001__08__17",1,NA,99.8577763731,NA,10.5889440883367,5.6853725850966,NA,95.8998817214559,FALSE,TRUE,2,NA,2,NA
