"beta","statistic","p.value","accepted","acceptance_component","specification_id","construct_id","treatment","analysis_scope"
-0.077660669337422,13.3465757500314,0.000285250297055054,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0771812824896601,13.3465323461879,0.000285256732223005,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0767018956418983,13.3464803113844,0.000285264447233374,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0762225087941364,13.3464193134041,0.000285273491450021,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0757431219463746,13.3463490068994,0.000285283916208514,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0752637350986127,13.3462690328107,0.000285295774905027,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0747843482508508,13.3461790177529,0.00028530912309043,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.074304961403089,13.3460785733755,0.000285324018568425,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0738255745553271,13.3459672956847,0.0002853405214998,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0733461877075652,13.3458447643359,0.000285358694511273,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0728668008598034,13.3457105418866,0.000285378602810689,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0723874140120415,13.3455641730111,0.000285400314308266,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0719080271642796,13.3454051836761,0.000285423899744049,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0714286403165178,13.3452330802705,0.000285449432822678,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0709492534687559,13.3450473486913,0.000285476990355273,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.070469866620994,13.3448474533797,0.000285506652409196,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0699904797732322,13.3446328363069,0.000285538502466002,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0695110929254703,13.3444029159038,0.000285572627588326,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0690317060777085,13.3441570859339,0.000285609118596082,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0685523192299466,13.3438947143053,0.000285648070252513,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0680729323821847,13.3436151418154,0.000285689581461065,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0675935455344229,13.3433176808288,0.000285733755473351,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.067114158686661,13.3430016138795,0.000285780700109358,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0666347718388991,13.3426661921967,0.000285830527990242,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0661553849911373,13.342310634146,0.000285883356785025,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0656759981433754,13.3419341235835,0.000285939309471709,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0651966112956135,13.3415358081142,0.000285998514614258,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0647172244478517,13.3411147972525,0.000286061106655793,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
-0.0642378376000898,13.3406701604735,0.000286127226230051,FALSE,NA,"unadjusted__nonzero_mean","emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
