"academic_year","target_unit_2001","dise_report_school_quality_source_districts","dise_report_school_quality_status","dise_report_pupils_per_teacher","dise_report_single_teacher_school_share","dise_report_girls_toilet_school_share","girls_toilet_definition","source_pdf","source_page"
"2011-12","pc2001__01__01",1,"one_to_one_report_ratio",14,1.9,27.6,"all_schools","DistrictReportCards2011-12I.pdf",234
"2011-12","pc2001__01__02",1,"one_to_one_report_ratio",19,6.1,44.5,"all_schools","DistrictReportCards2011-12I.pdf",226
"2011-12","pc2001__01__03",2,"multiple_source_districts_not_aggregated",NA,NA,NA,NA,NA,NA
"2011-12","pc2001__01__04",1,"one_to_one_report_ratio",14,3.2,59.9,"all_schools","DistrictReportCards2011-12I.pdf",224
"2011-12","pc2001__01__05",1,"one_to_one_report_ratio",14,4.8,59.7,"all_schools","DistrictReportCards2011-12I.pdf",236
"2011-12","pc2001__01__06",2,"multiple_source_districts_not_aggregated",NA,NA,NA,NA,NA,NA
"2011-12","pc2001__01__07",1,"one_to_one_report_ratio",7,8.7,88.9,"all_schools","DistrictReportCards2011-12I.pdf",235
"2011-12","pc2001__01__08",1,"one_to_one_report_ratio",8,16,72.1,"all_schools","DistrictReportCards2011-12I.pdf",230
"2011-12","pc2001__01__09",2,"multiple_source_districts_not_aggregated",NA,NA,NA,NA,NA,NA
"2011-12","pc2001__01__10",1,"one_to_one_report_ratio",15,11.8,45.7,"all_schools","DistrictReportCards2011-12I.pdf",244
"2011-12","pc2001__01__11",1,"one_to_one_report_ratio",18,9.4,42.5,"all_schools","DistrictReportCards2011-12I.pdf",237
"2011-12","pc2001__01__12",1,"one_to_one_report_ratio",15,11.1,36.7,"all_schools","DistrictReportCards2011-12I.pdf",238
"2011-12","pc2001__01__13",1,"one_to_one_report_ratio",12,10.3,76.9,"all_schools","DistrictReportCards2011-12I.pdf",229
"2011-12","pc2001__01__14",1,"one_to_one_report_ratio",12,14.8,61.9,"all_schools","DistrictReportCards2011-12I.pdf",231
"2011-12","pc2001__02__01",1,"one_to_one_report_ratio",16,7.9,98.3,"all_schools","DistrictReportCards2011-12I.pdf",212
"2011-12","pc2001__02__02",1,"one_to_one_report_ratio",16,4.1,95.5,"all_schools","DistrictReportCards2011-12I.pdf",214
"2011-12","pc2001__02__03",1,"one_to_one_report_ratio",4,17.1,99.7,"all_schools","DistrictReportCards2011-12I.pdf",217
"2011-12","pc2001__02__04",1,"one_to_one_report_ratio",17,6.7,96.8,"all_schools","DistrictReportCards2011-12I.pdf",216
"2011-12","pc2001__02__05",1,"one_to_one_report_ratio",14,4.5,99.9,"all_schools","DistrictReportCards2011-12I.pdf",218
"2011-12","pc2001__02__07",1,"one_to_one_report_ratio",20,2.3,99.6,"all_schools","DistrictReportCards2011-12I.pdf",222
"2011-12","pc2001__02__09",1,"one_to_one_report_ratio",19,6,99.8,"all_schools","DistrictReportCards2011-12I.pdf",221
"2011-12","pc2001__02__10",1,"one_to_one_report_ratio",18,5,99.7,"all_schools","DistrictReportCards2011-12I.pdf",220
"2011-12","pc2001__02__11",1,"one_to_one_report_ratio",13,7.9,92.5,"all_schools","DistrictReportCards2011-12I.pdf",219
"2011-12","pc2001__02__12",1,"one_to_one_report_ratio",11,4.9,94.5,"all_schools","DistrictReportCards2011-12I.pdf",215
"2011-12","pc2001__03__01",2,"multiple_source_districts_not_aggregated",NA,NA,NA,NA,NA,NA
"2011-12","pc2001__03__02",1,"one_to_one_report_ratio",20,5,99,"all_schools","DistrictReportCards2011-12II.pdf",95
"2011-12","pc2001__03__03",1,"one_to_one_report_ratio",17,8.1,97.3,"all_schools","DistrictReportCards2011-12II.pdf",105
