"academic_year","district_code_dise","state_code_dise","state_name_dise","district_name_dise","dise_government_enrollment","dise_private_enrollment","dise_management_enrollment","dise_grade_enrollment","dise_direct_enrollment","dise_total_enrollment","dise_total_enrollment_source","dise_direct_to_grade_enrollment_ratio","dise_management_to_grade_enrollment_ratio","dise_management_enrollment_difference","dise_private_enrollment_share","dise_medium_slot_1_enrollment","dise_medium_slot_2_enrollment","dise_medium_slot_3_enrollment","dise_medium_slot_4_enrollment","dise_medium_slot_5_enrollment","dise_medium_classified_enrollment","dise_medium_classification_ratio","dise_medium_classification_difference","dise_government_schools","dise_private_schools","dise_total_schools","dise_single_teacher_schools","dise_girls_toilet_schools","dise_private_school_share","dise_single_teacher_school_share","dise_girls_toilet_school_share","state_key","district_key","dise_medium_identity_complete","dise_english_enrollment","dise_hindi_enrollment","dise_english_identity_resolved","dise_hindi_identity_resolved","dise_emi_enrollment_share_total","dise_hindi_enrollment_share_total","dise_english_share_english_hindi","dise_total_teachers","dise_pupils_per_teacher"
"2007-08","2420","24","GUJARAT","NARMADA",81052,6251,87303,87303,NA,87303,"grade_i_viii_sum",NA,1,0,7.16012049986827,86466,766,41,30,0,87303,100,0,738,28,766,42,440,3.65535248041775,5.48302872062663,57.4412532637076,"gujarat","narmada",TRUE,766,0,TRUE,TRUE,0.877403983826444,0,100,2725,32.0377981651376
"2007-08","2421","24","GUJARAT","BHARUCH",153278,65127,218405,218405,NA,218405,"grade_i_viii_sum",NA,1,0,29.8193722671184,200124,12097,3675,406,122,216424,99.0929694832994,-1981,953,231,1184,28,840,19.5101351351351,2.36486486486486,70.945945945946,"gujarat","bharuch",TRUE,12097,3675,TRUE,TRUE,5.53879261005929,1.68265378539869,76.6992137966016,6847,31.897911494085
"2007-08","2423","24","GUJARAT","THE DANGS",45548,1976,47524,47524,NA,47524,"grade_i_viii_sum",NA,1,0,4.15789916673681,47113,227,184,17795,17596,82915,174.469741604242,35391,400,12,412,2,212,2.9126213592233,0.485436893203884,51.4563106796116,"gujarat","the dangs",FALSE,184,NA,TRUE,FALSE,0.387172796902618,NA,NA,1547,30.7201034259858
"2007-08","2338","23","MADHYA PRADESH","KATNI",240709,76767,317476,317476,NA,317476,"grade_i_viii_sum",NA,1,0,24.1804104877219,16310,709,449,152,0,17620,5.55002582872406,-299856,1846,235,2081,303,1559,11.2926477654974,14.5603075444498,74.9159058145123,"madhya pradesh","katni",TRUE,709,16310,TRUE,TRUE,0.223323967795991,5.1373962126271,4.16593219343087,7285,43.5794097460535
"2007-08","2339","23","MADHYA PRADESH","JABALPUR",248106,166438,414544,414544,NA,414544,"grade_i_viii_sum",NA,1,0,40.1496584198541,369598,40012,4712,152,0,414474,99.9831139758385,-70,2200,877,3077,330,1394,28.5017874553136,10.724731881703,45.3038674033149,"madhya pradesh","jabalpur",FALSE,40012,369598,TRUE,TRUE,9.6520514107067,89.157725114825,9.7683162032177,15846,26.1607976776474
"2007-08","2340","23","MADHYA PRADESH","NARSIMHAPUR",151197,71950,223147,223147,NA,223147,"grade_i_viii_sum",NA,1,0,32.2433194262078,208391,13812,944,0,0,223147,100,0,1635,285,1920,160,926,14.84375,8.33333333333333,48.2291666666667,"madhya pradesh","narsimhapur",TRUE,13812,208391,TRUE,TRUE,6.18964180562589,93.3873186733409,6.2159376786092,6874,32.4624672679662
"2007-08","2341","23","MADHYA PRADESH","DINDORI",133808,10757,144565,144565,NA,144565,"grade_i_viii_sum",NA,1,0,7.44094352021582,143466,755,944,0,0,145165,100.415038218103,600,1658,96,1754,663,196,5.47320410490308,37.7993158494869,11.1744583808438,"madhya pradesh","dindori",FALSE,755,143466,TRUE,TRUE,0.522256424445751,99.2397883305088,0.523502125210614,3883,37.2302343548802
"2007-08","2342","23","MADHYA PRADESH","MANDLA",180075,28451,208526,208526,NA,208526,"grade_i_viii_sum",NA,1,0,13.6438621562779,205953,2326,230,0,0,208509,99.9918475393956,-17,2579,298,2877,504,645,10.3580118178658,17.5182481751825,22.4191866527633,"madhya pradesh","mandla",TRUE,2326,205953,TRUE,TRUE,1.11544843328889,98.7661011096938,1.11677125394303,7148,29.1726357022943
"2007-08","2343","23","MADHYA PRADESH","CHHINDWARA",348802,100016,448818,448818,NA,448818,"grade_i_viii_sum",NA,1,0,22.2843112352891,413048,20745,11742,2402,55,447992,99.8159610354308,-826,3382,596,3978,603,1036,14.9824032176973,15.158371040724,26.0432378079437,"madhya pradesh","chhindwara",TRUE,11742,413048,TRUE,TRUE,2.61620523241046,92.0301770428102,2.76418936415641,13880,32.335590778098
"2007-08","2344","23","MADHYA PRADESH","SEONI",246380,39662,286042,286042,NA,286042,"grade_i_viii_sum",NA,1,0,13.8657959320659,279578,3689,2078,0,55,285400,99.7755574356213,-642,2800,310,3110,458,755,9.96784565916399,14.7266881028939,24.2765273311897,"madhya pradesh","seoni",FALSE,3689,279578,TRUE,TRUE,1.28967074765244,97.7401919997763,1.3023048925572,9409,30.4008927622489
"2007-08","2345","23","MADHYA PRADESH","BALAGHAT",266512,133941,400453,400453,NA,400453,"grade_i_viii_sum",NA,1,0,33.4473708525095,393046,6083,798,158,0,400085,99.9081040721383,-368,2739,717,3456,273,1931,20.7465277777778,7.89930555555556,55.8738425925926,"madhya pradesh","balaghat",TRUE,6083,393046,TRUE,TRUE,1.51902969886603,98.1503447345881,1.52406865950607,14025,28.552798573975
"2007-08","2346","23","MADHYA PRADESH","ASHOKNAGAR",160602,39782,200384,200384,NA,200384,"grade_i_viii_sum",NA,1,0,19.8528824656659,181614,5022,3471,430,0,190537,95.0859350047908,-9847,1398,178,1576,209,517,11.2944162436548,13.261421319797,32.8045685279188,"madhya pradesh","ashoknagar",TRUE,5022,181614,TRUE,TRUE,2.50618811881188,90.6329846694347,2.69079920272616,4522,44.313135780628
