"target_unit_2001","academic_year","dise_source_district_count","dise_source_districts","dise_english_enrollment","dise_hindi_enrollment","report_total_enrollment","dise_grade_enrollment","dise_direct_enrollment","dise_management_enrollment","dise_government_enrollment","dise_private_enrollment","dise_government_schools","dise_private_schools","dise_total_schools","dise_total_teachers","dise_single_teacher_schools","dise_girls_toilet_schools","dise_total_enrollment","dise_total_enrollment_source","dise_direct_to_grade_enrollment_ratio","dise_management_to_grade_enrollment_ratio","dise_english_identity_resolved","dise_hindi_identity_resolved","dise_english_count_valid","dise_hindi_count_valid","dise_emi_enrollment_share_total","dise_hindi_enrollment_share_total","dise_english_share_english_hindi","dise_private_enrollment_share","dise_private_school_share","dise_single_teacher_school_share","dise_girls_toilet_school_share","dise_pupils_per_teacher","state_code_2001","region","ling_distance_nonzero_mean","ling_share_distance_ge3","ling_distance_top3_legacy","ling_distance_nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_high","ling_share_distance_1","ling_share_distance_2","ling_share_distance_3","ling_share_distance_4","ling_share_distance_5","ling_mapped_share_distance_1","ling_mapped_share_distance_2","ling_mapped_share_distance_3","ling_mapped_share_distance_4","ling_mapped_share_distance_5","ling_distance_glottolog_nonhindi_mean","ling_distance_dyen_noncognate_pct","hindi_urdu_share","native_english_share","hindi_share","urdu_share","ling_unmapped_speaker_share","ling_mapped_speaker_share","ling_sensitivity_mapped_speaker_share","ling_glottolog_mapped_speaker_share","ling_dyen_mapped_speaker_share","census_age_6_13_population","census_age_6_13_population_2001","census_age_6_13_population_2011","census_age_6_13_annual_log_growth_2001_2011","census_age_6_13_population_method","dise_emi_gross_enrollment_ratio_age_6_13","dise_elementary_gross_enrollment_ratio_age_6_13"
"pc2001__01__01","2014-15",1,"KUPWARA",126320,NA,NA,NA,126320,NA,NA,NA,NA,NA,2060,9274,77,1280,126320,"direct_enrtot",NA,NA,TRUE,FALSE,TRUE,FALSE,100,NA,NA,NA,NA,3.7378640776699,62.1359223300971,13.6208755660988,"01","Northern",3.68099387465247,75.1007675106154,3.6477002197254,3.66708975620223,3.85738409267904,8.9760420337877,0.118658649384468,0.184836625046363,74.4245209407122,0.491409944856817,10.4972057486884,0.138767649679179,0.216160761692209,87.0371936897616,0.57468885269211,10.0739813013184,57.5366106283035,1.31232464760228,0.000461706806943455,1.09963171187033,0.212692935731951,14.4906681359203,85.5088701572727,99.926126910889,77.2630229573338,76.665580218111,217627.108786036,155237,199377,0.025024452343904,"log_linear_extrapolation_post_2011",58.0442393894015,58.0442393894015
"pc2001__01__01","2012-13",1,"KUPWARA",109597,NA,NA,127035,NA,127035,90250,36785,1801,233,2034,NA,44,38.42,127035,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,86.2730743495887,NA,NA,28.9565867674263,11.4552605703048,2.16322517207473,1.88888888888889,NA,"01","Northern",3.68099387465247,75.1007675106154,3.6477002197254,3.66708975620223,3.85738409267904,8.9760420337877,0.118658649384468,0.184836625046363,74.4245209407122,0.491409944856817,10.4972057486884,0.138767649679179,0.216160761692209,87.0371936897616,0.57468885269211,10.0739813013184,57.5366106283035,1.31232464760228,0.000461706806943455,1.09963171187033,0.212692935731951,14.4906681359203,85.5088701572727,99.926126910889,77.2630229573338,76.665580218111,207003.185772574,155237,199377,0.025024452343904,"log_linear_extrapolation_post_2011",52.9445957998008,61.3686207416963
"pc2001__01__01","2013-14",1,"KUPWARA",124039,NA,NA,124039,NA,124039,88726,35313,NA,NA,NA,NA,NA,NA,124039,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,100,NA,NA,28.4692717613009,NA,NA,NA,NA,"01","Northern",3.68099387465247,75.1007675106154,3.6477002197254,3.66708975620223,3.85738409267904,8.9760420337877,0.118658649384468,0.184836625046363,74.4245209407122,0.491409944856817,10.4972057486884,0.138767649679179,0.216160761692209,87.0371936897616,0.57468885269211,10.0739813013184,57.5366106283035,1.31232464760228,0.000461706806943455,1.09963171187033,0.212692935731951,14.4906681359203,85.5088701572727,99.926126910889,77.2630229573338,76.665580218111,212248.686283765,155237,199377,0.025024452343904,"log_linear_extrapolation_post_2011",58.4404088297473,58.4404088297473
"pc2001__01__01","2008-09",1,"KUPWARA",115154,NA,NA,115154,NA,115154,90060,25094,NA,NA,NA,NA,NA,NA,115154,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,100,NA,NA,21.7916876530559,NA,NA,NA,NA,"01","Northern",3.68099387465247,75.1007675106154,3.6477002197254,3.66708975620223,3.85738409267904,8.9760420337877,0.118658649384468,0.184836625046363,74.4245209407122,0.491409944856817,10.4972057486884,0.138767649679179,0.216160761692209,87.0371936897616,0.57468885269211,10.0739813013184,57.5366106283035,1.31232464760228,0.000461706806943455,1.09963171187033,0.212692935731951,14.4906681359203,85.5088701572727,99.926126910889,77.2630229573338,76.665580218111,187285.90892598,155237,199377,0.025024452343904,"log_linear_interpolation_2001_2011",61.4856721791663,61.4856721791663
"pc2001__01__01","2015-16",1,"KUPWARA",127558,0,NA,NA,127558,NA,NA,NA,NA,NA,2076,9757,105,1897,127558,"direct_enrtot",NA,NA,TRUE,TRUE,TRUE,TRUE,100,0,100,NA,NA,5.05780346820809,91.3776493256262,13.0734857025725,"01","Northern",3.68099387465247,75.1007675106154,3.6477002197254,3.66708975620223,3.85738409267904,8.9760420337877,0.118658649384468,0.184836625046363,74.4245209407122,0.491409944856817,10.4972057486884,0.138767649679179,0.216160761692209,87.0371936897616,0.57468885269211,10.0739813013184,57.5366106283035,1.31232464760228,0.000461706806943455,1.09963171187033,0.212692935731951,14.4906681359203,85.5088701572727,99.926126910889,77.2630229573338,76.665580218111,223141.821548188,155237,199377,0.025024452343904,"log_linear_extrapolation_post_2011",57.164541866238,57.164541866238
"pc2001__01__01","2005-06",1,"KUPWARA",92642,0,NA,93542,NA,93542,73853,19689,1275,147,1422,5264,68,83,93542,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,99.0378653439097,0,100,21.0482991597357,10.337552742616,4.78199718706048,5.83684950773558,17.7701367781155,"01","Northern",3.68099387465247,75.1007675106154,3.6477002197254,3.66708975620223,3.85738409267904,8.9760420337877,0.118658649384468,0.184836625046363,74.4245209407122,0.491409944856817,10.4972057486884,0.138767649679179,0.216160761692209,87.0371936897616,0.57468885269211,10.0739813013184,57.5366106283035,1.31232464760228,0.000461706806943455,1.09963171187033,0.212692935731951,14.4906681359203,85.5088701572727,99.926126910889,77.2630229573338,76.665580218111,173740.53652967,155237,199377,0.025024452343904,"log_linear_interpolation_2001_2011",53.3220409297973,53.8400547554575
"pc2001__01__01","2006-07",1,"KUPWARA",95546,0,NA,97587,NA,97587,76318,21269,1260,183,1443,6323,26,102,97587,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,97.9085328988492,0,100,21.7949112074354,12.6819126819127,1.8018018018018,7.06860706860707,15.4336549106437,"01","Northern",3.68099387465247,75.1007675106154,3.6477002197254,3.66708975620223,3.85738409267904,8.9760420337877,0.118658649384468,0.184836625046363,74.4245209407122,0.491409944856817,10.4972057486884,0.138767649679179,0.216160761692209,87.0371936897616,0.57468885269211,10.0739813013184,57.5366106283035,1.31232464760228,0.000461706806943455,1.09963171187033,0.212692935731951,14.4906681359203,85.5088701572727,99.926126910889,77.2630229573338,76.665580218111,178143.155116334,155237,199377,0.025024452343904,"log_linear_interpolation_2001_2011",53.6343930462021,54.7801008331036
"pc2001__01__01","2007-08",1,"KUPWARA",0,0,NA,101326,NA,101326,77829,23497,1265,187,1452,6531,20,132,101326,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,0,NA,23.1895071353848,12.8787878787879,1.37741046831956,9.09090909090909,15.514622569285,"01","Northern",3.68099387465247,75.1007675106154,3.6477002197254,3.66708975620223,3.85738409267904,8.9760420337877,0.118658649384468,0.184836625046363,74.4245209407122,0.491409944856817,10.4972057486884,0.138767649679179,0.216160761692209,87.0371936897616,0.57468885269211,10.0739813013184,57.5366106283035,1.31232464760228,0.000461706806943455,1.09963171187033,0.212692935731951,14.4906681359203,85.5088701572727,99.926126910889,77.2630229573338,76.665580218111,182657.336904118,155237,199377,0.025024452343904,"log_linear_interpolation_2001_2011",0,55.4732712725298
"pc2001__01__01","2009-10",1,"KUPWARA",120426,NA,NA,120513,NA,120513,92191,28322,1628,199,1827,8017,142,0,120513,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,99.9278086181574,NA,NA,23.5011990407674,10.8921729611385,7.77230432402846,0,15.0321816140701,"01","Northern",3.68099387465247,75.1007675106154,3.6477002197254,3.66708975620223,3.85738409267904,8.9760420337877,0.118658649384468,0.184836625046363,74.4245209407122,0.491409944856817,10.4972057486884,0.138767649679179,0.216160761692209,87.0371936897616,0.57468885269211,10.0739813013184,57.5366106283035,1.31232464760228,0.000461706806943455,1.09963171187033,0.212692935731951,14.4906681359203,85.5088701572727,99.926126910889,77.2630229573338,76.665580218111,192031.769852436,155237,199377,0.025024452343904,"log_linear_interpolation_2001_2011",62.7114982549708,62.7568032584434
"pc2001__01__01","2011-12",1,"KUPWARA",125459,NA,NA,125459,NA,125459,90457,35002,1777,226,2003,8830,39,27.62,125459,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,100,NA,NA,27.8991543053906,11.2830753869196,1.94707938092861,1.37893160259611,14.2082672706682,"01","Northern",3.68099387465247,75.1007675106154,3.6477002197254,3.66708975620223,3.85738409267904,8.9760420337877,0.118658649384468,0.184836625046363,74.4245209407122,0.491409944856817,10.4972057486884,0.138767649679179,0.216160761692209,87.0371936897616,0.57468885269211,10.0739813013184,57.5366106283035,1.31232464760228,0.000461706806943455,1.09963171187033,0.212692935731951,14.4906681359203,85.5088701572727,99.926126910889,77.2630229573338,76.665580218111,201887.322226845,155237,199377,0.025024452343904,"log_linear_extrapolation_post_2011",62.1430799201108,62.1430799201108
