"target_unit_2001","census_2001_district_name","census_age_6_13_population_2001","census_age_6_13_population_2011","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","census_age_6_13_anchor_status","census_age_6_13_annual_log_growth_2001_2011"
"pc2001__08__27","Dungarpur",229534,282520,1,"Dungarpur",TRUE,"two_census_anchors",0.0207698177864827
"pc2001__08__32","Jhalawar",246203,259487,1,"Jhalawar",TRUE,"two_census_anchors",0.00525502061205801
"pc2001__09__01","Saharanpur",654601,669260,1,"Saharanpur",TRUE,"two_census_anchors",0.00221467346718079
"pc2001__09__03","Bijnor",735755,741700,1,"Bijnor",TRUE,"two_census_anchors",0.000804766586540909
"pc2001__09__05","Rampur",478715,512285,1,"Rampur",TRUE,"two_census_anchors",0.00677756800247857
"pc2001__09__08","Baghpat *",255811,246097,1,"Baghpat",TRUE,"two_census_anchors",-0.00387131234096398
"pc2001__09__10","Gautam Buddha Nagar *",260864,288514,1,"Gautam Buddha Nagar",TRUE,"two_census_anchors",0.0100744412913699
"pc2001__09__11","Bulandshahr",659367,683889,1,"Bulandshahr",TRUE,"two_census_anchors",0.00365153398624505
"pc2001__09__12","Aligarh",691270,737120,1,"Aligarh",TRUE,"two_census_anchors",0.0064220215677392
"pc2001__09__14","Mathura",478980,505226,1,"Mathura",TRUE,"two_census_anchors",0.00533470110327371
"pc2001__09__15","Agra",838745,883845,1,"Agra",TRUE,"two_census_anchors",0.00523749808811234
"pc2001__09__16","Firozabad",477614,518746,1,"Firozabad",TRUE,"two_census_anchors",0.00826114857902071
"pc2001__09__18","Mainpuri",368330,383749,1,"Mainpuri",TRUE,"two_census_anchors",0.00410094175657811
"pc2001__09__20","Bareilly",855661,928830,1,"Bareilly",TRUE,"two_census_anchors",0.00820514599391129
"pc2001__09__21","Pilibhit",391043,425810,1,"Pilibhit",TRUE,"two_census_anchors",0.00851757090247527
"pc2001__09__22","Shahjahanpur",594329,651032,1,"Shahjahanpur",TRUE,"two_census_anchors",0.00911257580604186
"pc2001__09__24","Sitapur",818867,960899,1,"Sitapur",TRUE,"two_census_anchors",0.0159947627088183
"pc2001__09__25","Hardoi",773513,866078,1,"Hardoi",TRUE,"two_census_anchors",0.0113032497195927
"pc2001__09__26","Unnao",609051,604537,1,"Unnao",TRUE,"two_census_anchors",-0.000743913225460902
"pc2001__09__27","Lucknow",732877,764102,1,"Lucknow",TRUE,"two_census_anchors",0.00417234038495491
"pc2001__09__28","Rae Bareli",645793,682416,1,"Rae Bareli",TRUE,"two_census_anchors",0.00551604235651459
"pc2001__09__29","Farrukhabad",362220,385058,1,"Farrukhabad",TRUE,"two_census_anchors",0.00611422102555698
"pc2001__09__30","Kannauj *",327379,340414,1,"Kannauj",TRUE,"two_census_anchors",0.0039044002780886
"pc2001__09__31","Etawah",294373,298483,1,"Etawah",TRUE,"two_census_anchors",0.00138653090946765
"pc2001__09__32","Auraiya *",260794,267357,1,"Auraiya",TRUE,"two_census_anchors",0.00248540203053935
"pc2001__09__33","Kanpur Dehat",341218,334937,1,"Kanpur Dehat",TRUE,"two_census_anchors",-0.0018579114770313
"pc2001__09__34","Kanpur Nagar",813164,722260,1,"Kanpur Nagar",TRUE,"two_census_anchors",-0.0118547626350063
"pc2001__09__35","Jalaun",310182,300071,1,"Jalaun",TRUE,"two_census_anchors",-0.00331401086577687
"pc2001__09__36","Jhansi",353599,337721,1,"Jhansi",TRUE,"two_census_anchors",-0.00459433918754672
"pc2001__09__37","Lalitpur",215965,256789,1,"Lalitpur",TRUE,"two_census_anchors",0.0173138378489691
"pc2001__09__38","Hamirpur",230109,211786,1,"Hamirpur",TRUE,"two_census_anchors",-0.0082976778817184
"pc2001__09__39","Mahoba *",152408,175073,1,"Mahoba",TRUE,"two_census_anchors",0.0138641894487629
"pc2001__09__40","Banda",342185,379591,1,"Banda",TRUE,"two_census_anchors",0.0103742830805003
"pc2001__09__41","Chitrakoot *",178633,220180,1,"Chitrakoot",TRUE,"two_census_anchors",0.0209111971831083
"pc2001__09__42","Fatehpur",522128,534395,1,"Fatehpur",TRUE,"two_census_anchors",0.00232224973398692
"pc2001__09__43","Pratapgarh",639435,670315,1,"Pratapgarh",TRUE,"two_census_anchors",0.0047162777207943
"pc2001__09__48","Ambedkar Nagar *",467358,490779,1,"Ambedkar Nagar",TRUE,"two_census_anchors",0.00488983653614012
"pc2001__09__50","Bahraich",545807,778439,1,"Bahraich",TRUE,"two_census_anchors",0.035502519898892
"pc2001__09__52","Balrampur *",393334,494099,1,"Balrampur",TRUE,"two_census_anchors",0.0228076778262432
"pc2001__09__53","Gonda",640922,751240,1,"Gonda",TRUE,"two_census_anchors",0.0158817409963666
"pc2001__09__55","Basti",477914,531878,1,"Basti",TRUE,"two_census_anchors",0.0106983339748181
"pc2001__09__60","Deoria",630320,650276,1,"Deoria",TRUE,"two_census_anchors",0.00311692612132641
"pc2001__09__61","Azamgarh",924468,990092,1,"Azamgarh",TRUE,"two_census_anchors",0.00685794311802693
"pc2001__09__62","Mau",433941,475219,1,"Mau",TRUE,"two_census_anchors",0.00908671702554872
"pc2001__09__63","Ballia",621101,660730,1,"Ballia",TRUE,"two_census_anchors",0.00618515747815139
"pc2001__09__64","Jaunpur",907616,945450,1,"Jaunpur",TRUE,"two_census_anchors",0.00408396229655148
"pc2001__09__65","Ghazipur",707781,749858,1,"Ghazipur",TRUE,"two_census_anchors",0.0057749131461311
"pc2001__09__66","Chandauli *",364148,399790,1,"Chandauli",TRUE,"two_census_anchors",0.00933790308405948
"pc2001__09__67","Varanasi",694613,696150,1,"Varanasi",TRUE,"two_census_anchors",0.000221029841280024
"pc2001__09__69","Mirzapur",490774,514060,1,"Mirzapur",TRUE,"two_census_anchors",0.00463562534616623
"pc2001__09__70","Sonbhadra",339868,402102,1,"Sonbhadra",TRUE,"two_census_anchors",0.0168148480844695
"pc2001__10__01","Pashchim Champaran",693845,932309,1,"Pashchim Champaran",TRUE,"two_census_anchors",0.0295415712178474
"pc2001__10__02","Purba Champaran",915458,1213139,1,"Purba Champaran",TRUE,"two_census_anchors",0.0281542007807732
"pc2001__10__03","Sheohar *",117835,151406,1,"Sheohar",TRUE,"two_census_anchors",0.0250679629496928
"pc2001__10__04","Sitamarhi",613790,792387,1,"Sitamarhi",TRUE,"two_census_anchors",0.0255397058733045
