"target_unit_2001","census_2001_district_name","census_age_6_13_population_2001","census_age_6_13_population_2011","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","census_age_6_13_anchor_status","census_age_6_13_annual_log_growth_2001_2011"
"pc2001__24__01","Kachchh",305260,358994,1,"Kachchh",TRUE,"two_census_anchors",0.0162141802769716
"pc2001__24__03","Patan  *",220753,233269,1,"Patan",TRUE,"two_census_anchors",0.00551478646477084
"pc2001__24__04","Mahesana",318295,310128,1,"Mahesana",TRUE,"two_census_anchors",-0.00259935102296021
"pc2001__24__07","Ahmadabad",963870,1036771,1,"Ahmadabad",TRUE,"two_census_anchors",0.00729099237827722
"pc2001__24__08","Surendranagar",285165,304049,1,"Surendranagar",TRUE,"two_census_anchors",0.00641209125162692
"pc2001__24__09","Rajkot",539313,553072,1,"Rajkot",TRUE,"two_census_anchors",0.00251920845878347
"pc2001__24__11","Porbandar  *",90302,91761,1,"Porbandar",TRUE,"two_census_anchors",0.00160277621845924
"pc2001__24__13","Amreli",266962,236386,1,"Amreli",TRUE,"two_census_anchors",-0.0121640264054055
"pc2001__24__14","Bhavnagar",494712,493446,1,"Bhavnagar",TRUE,"two_census_anchors",-0.000256234467093682
"pc2001__24__15","Anand  *",315460,315834,1,"Anand",TRUE,"two_census_anchors",0.000118486804485786
"pc2001__24__17","Panch Mahals",395409,428642,1,"Panch Mahals",TRUE,"two_census_anchors",0.00807013994678182
"pc2001__24__18","Dohad  *",357667,449508,1,"Dohad",TRUE,"two_census_anchors",0.0228551265377533
"pc2001__24__20","Narmada  *",97724,102597,1,"Narmada",TRUE,"two_census_anchors",0.00486615137125453
"pc2001__24__21","Bharuch",238947,238773,1,"Bharuch",TRUE,"two_census_anchors",-7.28460218096339e-05
"pc2001__24__23","The Dangs",41556,49131,1,"The Dangs",TRUE,"two_census_anchors",0.0167448284927555
"pc2001__24__24","Navsari  *",197382,176334,1,"Navsari",TRUE,"two_census_anchors",-0.0112761013530025
"pc2001__24__25","Valsad",244713,266149,1,"Valsad",TRUE,"two_census_anchors",0.00839702070174292
"pc2001__25__01","Diu",8948,8950,1,"Diu",TRUE,"two_census_anchors",2.2348865888073e-05
"pc2001__25__02","Daman",13636,19562,1,"Daman",TRUE,"two_census_anchors",0.0360875554592644
"pc2001__26__01","Dadra & Nagar Haveli",38538,57635,1,"Dadra & Nagar Haveli",TRUE,"two_census_anchors",0.0402485254549265
"pc2001__27__01","Nandurbar *",277513,318141,1,"Nandurbar",TRUE,"two_census_anchors",0.0136626901799476
"pc2001__27__02","Dhule",329555,346760,1,"Dhule",TRUE,"two_census_anchors",0.00508896384122861
"pc2001__27__04","Buldana",431644,404731,1,"Buldana",TRUE,"two_census_anchors",-0.00643785255355646
"pc2001__27__05","Akola",297971,270653,1,"Akola",TRUE,"two_census_anchors",-0.00961586087257726
"pc2001__27__06","Washim *",200029,195334,1,"Washim",TRUE,"two_census_anchors",-0.00237514421641907
"pc2001__27__07","Amravati",460493,415874,1,"Amravati",TRUE,"two_census_anchors",-0.0101915324944137
"pc2001__27__08","Wardha",197851,168907,1,"Wardha",TRUE,"two_census_anchors",-0.0158165954556003
"pc2001__27__09","Nagpur",676850,617097,1,"Nagpur",TRUE,"two_census_anchors",-0.00924234587653027
"pc2001__27__10","Bhandara",189805,168654,1,"Bhandara",TRUE,"two_census_anchors",-0.0118147950363268
"pc2001__27__11","Gondiya *",210061,194354,1,"Gondiya",TRUE,"two_census_anchors",-0.0077716726216203
"pc2001__27__12","Gadchiroli",184789,171228,1,"Gadchiroli",TRUE,"two_census_anchors",-0.00762186318900093
"pc2001__27__13","Chandrapur",359573,299857,1,"Chandrapur",TRUE,"two_census_anchors",-0.018161152200467
"pc2001__27__14","Yavatmal",461213,427143,1,"Yavatmal",TRUE,"two_census_anchors",-0.00767411235575057
"pc2001__27__15","Nanded",629243,575765,1,"Nanded",TRUE,"two_census_anchors",-0.00888179182633561
"pc2001__27__16","Hingoli *",210043,203378,1,"Hingoli",TRUE,"two_census_anchors",-0.0032245955155368
"pc2001__27__17","Parbhani",331031,310477,1,"Parbhani",TRUE,"two_census_anchors",-0.00641022020249362
"pc2001__27__20","Nashik",943081,988563,1,"Nashik",TRUE,"two_census_anchors",0.00471001984875417
"pc2001__27__22","Mumbai (Suburban) *",1313130,1173203,1,"Mumbai Suburban",TRUE,"two_census_anchors",-0.0112675985093841
"pc2001__27__23","Mumbai",438267,351157,1,"Mumbai",TRUE,"two_census_anchors",-0.022159489678635
"pc2001__27__24","Raigarh",387311,373422,1,"Raigarh",TRUE,"two_census_anchors",-0.00365188404507589
"pc2001__27__25","Pune",1190727,1237154,1,"Pune",TRUE,"two_census_anchors",0.00382495354520116
"pc2001__27__27","Bid",455072,417813,1,"Bid",TRUE,"two_census_anchors",-0.00854216841856895
"pc2001__27__31","Satara",478346,405966,1,"Satara",TRUE,"two_census_anchors",-0.0164064907758581
"pc2001__27__32","Ratnagiri",282846,230851,1,"Ratnagiri",TRUE,"two_census_anchors",-0.0203130099157099
"pc2001__27__33","Sindhudurg",129355,106538,1,"Sindhudurg",TRUE,"two_census_anchors",-0.019405883367693
"pc2001__27__34","Kolhapur",573034,517274,1,"Kolhapur",TRUE,"two_census_anchors",-0.0102372337002193
"pc2001__27__35","Sangli",444088,392268,1,"Sangli",TRUE,"two_census_anchors",-0.0124077461330147
"pc2001__28__05","Hyderabad",694066,583905,1,"Hyderabad",TRUE,"two_census_anchors",-0.0172828758486607
"pc2001__28__22","Anantapur",721635,596953,1,"Anantapur",TRUE,"two_census_anchors",-0.018968108757281
"pc2001__29__02","Bagalkot *",332333,317644,1,"Bagalkot",TRUE,"two_census_anchors",-0.00452062194640437
"pc2001__29__05","Bidar",333955,292787,1,"Bidar",TRUE,"two_census_anchors",-0.0131560871166412
"pc2001__29__06","Raichur",382987,338179,1,"Raichur",TRUE,"two_census_anchors",-0.0124425704945072
"pc2001__29__07","Koppal *",269526,241101,1,"Koppal",TRUE,"two_census_anchors",-0.0111448927814163
"pc2001__29__08","Gadag *",181848,156358,1,"Gadag",TRUE,"two_census_anchors",-0.0151022923449373
"pc2001__29__09","Dharwad",283014,264649,1,"Dharwad",TRUE,"two_census_anchors",-0.00670919466629229
"pc2001__29__11","Haveri *",270333,237270,1,"Haveri",TRUE,"two_census_anchors",-0.0130455799201485
"pc2001__29__13","Chitradurga",274898,232648,1,"Chitradurga",TRUE,"two_census_anchors",-0.0166873538122506
"pc2001__29__16","Udupi *",167824,133513,1,"Udupi",TRUE,"two_census_anchors",-0.0228716959842747
"pc2001__29__20","Bangalore",973433,1162759,1,"Bangalore",TRUE,"two_census_anchors",0.017772190973291
"pc2001__29__22","Mandya",287003,226514,1,"Mandya",TRUE,"two_census_anchors",-0.0236685915499217
"pc2001__29__23","Hassan",276422,223983,1,"Hassan",TRUE,"two_census_anchors",-0.0210358527398288
"pc2001__29__24","Dakshina Kannada",292039,265474,1,"Dakshina Kannada",TRUE,"two_census_anchors",-0.00953704475437756
"pc2001__29__25","Kodagu",84702,77385,1,"Kodagu",TRUE,"two_census_anchors",-0.00903462507653946
"pc2001__30__01","North Goa",98406,93688,1,"North Goa",TRUE,"two_census_anchors",-0.00491316650691908
"pc2001__31__01","Lakshadweep",11259,9151,1,"Lakshadweep",TRUE,"two_census_anchors",-0.0207304645887752
"pc2001__32__01","Kasaragod",190479,185809,1,"Kasaragod",TRUE,"two_census_anchors",-0.00248226878813096
"pc2001__32__02","Kannur",335373,317484,1,"Kannur",TRUE,"two_census_anchors",-0.00548159218921294
"pc2001__32__03","Wayanad",112675,119132,1,"Wayanad",TRUE,"two_census_anchors",0.00557245534760738
"pc2001__32__04","Kozhikode",403712,412057,1,"Kozhikode",TRUE,"two_census_anchors",0.00204599368342142
"pc2001__32__05","Malappuram",659722,667224,1,"Malappuram",TRUE,"two_census_anchors",0.00113072874560943
"pc2001__32__06","Palakkad",379532,370617,1,"Palakkad",TRUE,"two_census_anchors",-0.00237697303976301
"pc2001__32__07","Thrissur",385818,379097,1,"Thrissur",TRUE,"two_census_anchors",-0.00175736466701734
"pc2001__32__08","Ernakulam",370583,384141,1,"Ernakulam",TRUE,"two_census_anchors",0.00359322314514003
"pc2001__32__09","Idukki",143458,139778,1,"Idukki",TRUE,"two_census_anchors",-0.00259868596848175
"pc2001__32__10","Kottayam",235700,235302,1,"Kottayam",TRUE,"two_census_anchors",-0.000169001445738636
"pc2001__32__11","Alappuzha",252473,250415,1,"Alappuzha",TRUE,"two_census_anchors",-0.000818477071973516
"pc2001__32__12","Pathanamthitta",152683,132515,1,"Pathanamthitta",TRUE,"two_census_anchors",-0.0141668030056992
"pc2001__32__13","Kollam",324965,325233,1,"Kollam",TRUE,"two_census_anchors",8.24364317260978e-05
"pc2001__32__14","Thiruvananthapuram",420356,392812,1,"Thiruvananthapuram",TRUE,"two_census_anchors",-0.00677708453870329
"pc2001__33__02","Chennai",574946,535866,1,"Chennai",TRUE,"two_census_anchors",-0.00703919935281735
"pc2001__33__05","Dharmapuri",509572,497200,2,"Dharmapuri;Krishnagiri",TRUE,"two_census_anchors",-0.00245787980569177
"pc2001__33__06","Tiruvannamalai",367590,333915,1,"Tiruvannamalai",TRUE,"two_census_anchors",-0.00960817170590628
"pc2001__33__08","Salem",456847,466470,1,"Salem",TRUE,"two_census_anchors",0.00208451668215624
"pc2001__33__09","Namakkal   *",197589,206872,1,"Namakkal",TRUE,"two_census_anchors",0.00459111287675539
"pc2001__33__11","The Nilgiris",111086,96240,1,"The Nilgiris",TRUE,"two_census_anchors",-0.0143459604437646
"pc2001__33__13","Dindigul",284326,281707,1,"Dindigul",TRUE,"two_census_anchors",-0.000925394346235846
"pc2001__33__14","Karur  *",127998,133798,1,"Karur",TRUE,"two_census_anchors",0.00443165611017557
"pc2001__33__15","Tiruchirappalli",354133,354672,1,"Tiruchirappalli",TRUE,"two_census_anchors",0.000152086992584494
"pc2001__33__16","Perambalur  *",78421,80739,1,"Perambalur",TRUE,"two_census_anchors",0.00291299812814664
"pc2001__33__17","Ariyalur  *",110382,108321,1,"Ariyalur",TRUE,"two_census_anchors",-0.00188480360448849
"pc2001__33__18","Cuddalore",366756,362173,1,"Cuddalore",TRUE,"two_census_anchors",-0.0012574778587312
"pc2001__33__20","Thiruvarur",178092,164316,1,"Thiruvarur",TRUE,"two_census_anchors",-0.00805088675635846
"pc2001__33__21","Thanjavur",332337,320104,1,"Thanjavur",TRUE,"two_census_anchors",-0.00375035713394502
"pc2001__33__22","Pudukkottai",228732,230310,1,"Pudukkottai",TRUE,"two_census_anchors",0.000687521497298077
"pc2001__33__23","Sivaganga",175129,179799,1,"Sivaganga",TRUE,"two_census_anchors",0.00263167150624886
"pc2001__33__24","Madurai",378384,402589,1,"Madurai",TRUE,"two_census_anchors",0.00620066374423938
"pc2001__33__25","Theni  *",169673,165458,1,"Theni",TRUE,"two_census_anchors",-0.00251556691046559
"pc2001__33__26","Virudhunagar",265774,263424,1,"Virudhunagar",TRUE,"two_census_anchors",-0.000888142225498466
"pc2001__33__27","Ramanathapuram",196135,187492,1,"Ramanathapuram",TRUE,"two_census_anchors",-0.00450670198101837
"pc2001__33__30","Kanniyakumari",228910,231116,1,"Kanniyakumari",TRUE,"two_census_anchors",0.00095908357776451
"pc2001__34__01","Yanam",5771,8773,1,"Yanam",TRUE,"two_census_anchors",0.0418833447417417
"pc2001__34__03","Mahe",5097,5390,1,"Mahe",TRUE,"two_census_anchors",0.00558932535630012
"pc2001__34__04","Karaikal",25939,27259,1,"Karaikal",TRUE,"two_census_anchors",0.00496361141657017
"pc2001__35__02","Nicobars",6673,4189,1,"Nicobars",TRUE,"two_census_anchors",-0.0465607491956572
"pc2001__13__02","Tuensang",96387,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__01__02","Baramula",265916,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__01__03","Srinagar",236368,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__01__04","Badgam",150054,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__01__05","Pulwama",147850,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__13__07","Kohima",65935,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__13__08","Phek",34532,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__14__01","Senapati",31650,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__01__09","Doda",155669,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__01__10","Udhampur",152890,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__22__08","Kawardha *",129412,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__01__12","Rajauri",103559,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__01__13","Jammu",274361,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__01__14","Kathua",105720,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__19","Budaun",737332,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__14__09","Chandel",21856,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__02__03","Lahul & Spiti",4615,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__22__15","Bastar",275172,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__02__05","Mandi",157071,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__15__04","Champhai *",21787,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__02__07","Una",77514,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__02__08","Bilaspur",57857,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__17","Guntur",771900,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__15__08","Saiha *",13527,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__02__11","Shimla",120305,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__20","Cuddapah",479161,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__03__01","Gurdaspur",385572,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__03__02","Amritsar",584706,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__17__01","West Garo Hills",117347,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__17__02","East Garo Hills",59554,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__03__05","Hoshiarpur",256447,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__03__06","Nawanshahr *",102910,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__03__07","Rupnagar",196370,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__24__10","Jamnagar",335308,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__03__09","Ludhiana",517533,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__01","Kokrajhar",205054,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__03__11","Firozpur",347674,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__07__02","North   *",136796,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__04","Bongaigaon",195809,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__44","Kaushambi *",311000,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__45","Allahabad",1097976,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__03__16","Sangrur",369702,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__03__17","Patiala",333909,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__09","Marigaon",172833,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__05__01","Uttarkashi",61111,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__05__02","Chamoli",74050,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__05__03","Rudraprayag *",46128,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__05__04","Tehri Garhwal",125050,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__05__05","Dehradun",237879,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__05__06","Garhwal",132889,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__05__07","Pithoragarh",90861,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__56","Sant Kabir Nagar *",339878,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__57","Maharajganj",499354,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__05__10","Champawat",48016,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__05__11","Nainital",151127,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__05__12","Udham Singh Nagar *",275112,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__22","Karimganj",217708,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__23","Hailakandi",119446,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__01","Darjiling",298328,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__02","Jalpaiguri",695111,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__03","Koch Bihar",520317,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__04","Uttar Dinajpur",563568,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__05","Dakshin Dinajpur *",303524,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__68","Sant Ravidas Nagar *",325898,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__11__02","West",27208,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__24__02","Banas Kantha",539744,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__09","Barddhaman",1250950,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__10","Nadia",860455,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__06__12","Hisar",312780,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__06__13","Bhiwani",289335,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__26","Udaipur",544960,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__12__05","Lower Subansiri",23300,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__10__07","Araria",520615,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__29","Chittaurgarh",353368,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__06__18","Gurgaon",370766,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__06__19","Faridabad",466531,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__07__01","North West   *",533969,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__12__11","Lohit",31786,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__07__03","North East   *",367086,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__07__04","East   *",251160,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__07__05","New Delhi",29133,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__07__06","Central  *",106770,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__07__07","West   *",357737,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__07__08","South West   *",303575,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__07__09","South  *",400122,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__01","Ganganagar",371381,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__11","Sonitpur",349959,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__03","Bikaner",368742,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__04","Churu",442254,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__13","Hathras *",306910,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__06","Alwar",672559,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__07","Bharatpur",490185,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__08","Dhaulpur",238582,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__09","Karauli *",282739,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__10","Sawai Madhopur",250687,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__11","Dausa *",305525,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__12","Jaipur",1119631,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__13","Sikar",535272,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__14","Nagaur",631474,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__15","Jodhpur",639130,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__16","Jaisalmer",111657,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__08","Baleshwar",397541,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__15__06","Lunglei",25754,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__11__01","North",8276,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__05","Datia",132114,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__21","Ajmer",438521,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__22","Tonk",262902,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__35__01","Andamans",51600,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__24","Bhilwara",406713,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__25","Rajsamand *",203253,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__01","Belgaum",794244,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__12__04","Papum Pare *",27714,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__28","Banswara",328381,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__14","Rewa",437035,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__30","Kota",320491,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__08__31","Baran *",228204,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__23","Sonapur  *",100912,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__02","Dhubri",372277,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__02","Muzaffarnagar",803860,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__27__28","Latur",425255,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__04","Moradabad",919161,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__27__30","Solapur",727666,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__06","Jyotiba Phule Nagar *",358628,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__07","Meerut",661898,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__22__01","Koriya *",122948,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__09","Ghaziabad",721260,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__24__22","Surat",832904,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__22__04","Raigarh",231041,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__02","Nizamabad",459266,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__29__19","Kolar",460700,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__14__03","Churachandpur",44820,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__18__16","Sibsagar",198227,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__22__09","Rajnandgaon",249319,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__17","Etah",656563,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__14__07","Imphal East *",71890,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__09","Warangal",629157,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__10","Khammam",505131,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__22__14","Kanker *",127207,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__12","Vizianagaram",409881,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__09__23","Kheri",735422,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__14","East Godavari",892252,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__15__05","Serchhip *",10786,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__43","Chhindwara",390640,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__16","Krishna",732666,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__06","Maldah",749082,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__06","Shivpuri",328159,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__21__12","Cuttack",390500,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__23__08","Tikamgarh",262419,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__21","Kurnool",768786,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__28__23","Chittoor",647137,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
"pc2001__19__12","Hugli",849012,NA,NA,NA,NA,"missing_complete_2011_parent_reconstruction",NA
