"specification_id","adjustment_id","construction_id","estimate_2sls","std_error_clustered","p_value_clustered","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","reduced_form_joint_f","reduced_form_joint_p","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","n","status","reason","construct_id","treatment","analysis_scope","domain","margin","source_side","paper_role","label"
"unadjusted__distance_shares_mapped","unadjusted","distance_shares_mapped",-0.00234719117766947,0.00137096913941085,0.0874828175301778,11.8500506311112,21.1260544662997,0.389920507116485,1.38541032344733,9.35528087237322,1.52151795170301e-08,9.35528087237322,1.52151795170302e-08,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__glottolog_mean","unadjusted","glottolog_mean",-0.00100532055012557,0.00206125456844464,0.625952658949262,15.6499989612283,23.1085112116065,0.213676229127829,1,0.209371679760103,0.647452179010975,0.209371679760103,0.647452179010975,-0.00431452772422621,0.00479391969358468,FALSE,1,FALSE,TRUE,-0.00431452772422621,0.00479391969358468,FALSE,FALSE,"[-0.00431453, 0.00479392]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__glottolog_mean_shastry","unadjusted","glottolog_mean_shastry",0.00198933562089851,0.00386851241760065,0.60730584744097,6.41129791801094,23.1085112116065,0.735725845886082,1,0.33864006825629,0.560869402484981,0.338640068256289,0.560869402484982,-0.00383513575486774,0.0268459502840742,FALSE,1,FALSE,TRUE,-0.00383513575486774,0.0268459502840742,FALSE,FALSE,"[-0.00383514, 0.026846]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__dyen_noncognate","unadjusted","dyen_noncognate",-0.00479035037370188,0.00287115643614544,0.0958328325708509,10.9714191158395,23.1085112116065,0.440368265301484,1,2.51468421004078,0.113400465476227,2.51468421004076,0.113400465476229,-0.0124641912033202,0.00143817590807541,FALSE,1,FALSE,TRUE,-0.0124641912033202,0.00143817590807541,FALSE,FALSE,"[-0.0124642, 0.00143818]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__dyen_noncognate_shastry","unadjusted","dyen_noncognate_shastry",-0.00444405655223754,0.00519475868185456,0.392677796029071,3.40805488040411,23.1085112116065,0.905944442705862,1,0.653637300488011,0.419187828157334,0.653637300488011,0.419187828157334,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean","region_main","nonzero_mean",0.0012154487467788,0.00631307762701444,0.847405780359106,2.84729824735327,23.1085112116065,0.929878716842156,1,0.0420371120793573,0.837631987551713,0.0420371120793557,0.837631987551716,NA,NA,FALSE,2,TRUE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, -0.026846] U [-0.0124642, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distant_share","region_main","distant_share",-0.0148276877417865,0.0208785674158619,0.477917281489701,0.642244378290721,23.1085112116065,0.990920992603785,1,1.44798462835731,0.229417647924647,1.44798462835731,0.229417647924647,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__top3_legacy","region_main","top3_legacy",0.000898155141458149,0.00929812447725549,0.923086261477257,0.861083278923794,23.1085112116065,0.987290927429459,1,0.00992741936719756,0.920672662870597,0.00992741936719758,0.920672662870597,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_hindi_urdu","region_main","nonzero_mean_hindi_urdu",0.00120844851397558,0.0064151872734001,0.850660333811076,2.80228684471814,23.1085112116065,0.93166139254979,1,0.0403010543414838,0.840974410734737,0.0403010543414843,0.840974410734737,NA,NA,FALSE,2,TRUE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, -0.0263666] U [-0.0119848, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_shastry","region_main","nonzero_mean_shastry",0.00181035341838828,0.00690101720920553,0.793173795208235,2.39592625331649,23.1085112116065,0.946780856676797,1,0.0835030617895998,0.772724658065907,0.0835030617895959,0.772724658065912,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
