"target_unit_2001","academic_year","dise_source_district_count","dise_source_districts","dise_english_enrollment","dise_hindi_enrollment","dise_grade_enrollment","dise_direct_enrollment","dise_management_enrollment","dise_government_enrollment","dise_private_enrollment","dise_government_schools","dise_private_schools","dise_total_schools","dise_total_teachers","dise_single_teacher_schools","dise_girls_toilet_schools","dise_total_enrollment","dise_total_enrollment_source","dise_direct_to_grade_enrollment_ratio","dise_management_to_grade_enrollment_ratio","dise_english_identity_resolved","dise_hindi_identity_resolved","dise_english_count_valid","dise_hindi_count_valid","dise_emi_enrollment_share_total","dise_hindi_enrollment_share_total","dise_english_share_english_hindi","dise_private_enrollment_share","dise_private_school_share","dise_single_teacher_school_share","dise_girls_toilet_school_share","dise_pupils_per_teacher","census_age_6_13_population","census_age_6_13_population_2001","census_age_6_13_population_2011","census_age_6_13_annual_log_growth_2001_2011","census_age_6_13_population_method","dise_emi_gross_enrollment_ratio_age_6_13","dise_elementary_gross_enrollment_ratio_age_6_13"
"pc2001__01__01","2005-06",1,"KUPWARA",92642,0,93542,NA,93542,73853,19689,1275,147,1422,5264,68,83,93542,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,99.0378653439097,0,100,21.0482991597357,10.337552742616,4.78199718706048,5.83684950773558,17.7701367781155,173740.53652967,155237,199377,0.025024452343904,"log_linear_interpolation_2001_2011",53.3220409297973,53.8400547554575
"pc2001__01__02","2005-06",1,"BARAMULA",160824,0,163921,NA,163921,122758,41163,1743,244,1987,8143,107,206,163921,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,98.1106752643041,0,100,25.1114866307551,12.2798188223452,5.38500251635632,10.3673880221439,20.13029595972,NA,265916,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__03","2005-06",1,"SRINAGAR",134605,NA,134865,NA,134865,49247,85618,694,387,1081,8540,28,381,134865,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,99.8072146220294,NA,NA,63.4842249657064,35.800185013876,2.59019426456984,35.2451433857539,15.7921545667447,NA,236368,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__04","2005-06",1,"BADGAM",87668,77,90368,NA,90368,66284,24084,935,154,1089,5284,42,123,90368,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,97.012216713881,0.0852071529745042,99.9122457120064,26.6510269121813,14.1414141414141,3.85674931129477,11.2947658402204,17.1021953065859,NA,150054,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__05","2005-06",1,"PULWAMA",90694,0,108081,NA,108081,68517,39564,985,226,1211,5976,48,176,108081,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,83.912991182539,0,100,36.6058789241402,18.6622625928984,3.96366639141206,14.5334434351775,18.085843373494,NA,147850,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__06","2005-06",1,"ANANTNAG",149519,0,170618,NA,170618,123865,46753,1506,290,1796,8350,32,189,170618,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,87.6337783821168,0,100,27.402149831788,16.1469933184855,1.78173719376392,10.5233853006682,20.4332934131737,282551.137725657,270909,297462,0.00935035146043832,"log_linear_interpolation_2001_2011",52.9175005995465,60.3848214427158
"pc2001__01__07","2005-06",1,"LEH (LADAKH)",13773,NA,13781,NA,13781,9272,4509,302,28,330,1572,16,130,13781,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,99.9419490603004,NA,NA,32.7189608881794,8.48484848484848,4.84848484848485,39.3939393939394,8.76653944020356,17223.1090072987,19220,15062,-0.0243776387862986,"log_linear_interpolation_2001_2011",79.9681404452783,80.0145896664765
"pc2001__01__08","2005-06",1,"KARGIL",6018,0,19348,NA,19348,14564,4784,446,57,503,1701,81,70,19348,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,31.1039900764937,0,100,24.7260698780236,11.3320079522863,16.10337972167,13.9165009940358,11.3744855967078,24475.4701596041,25441,23345,-0.00859792174525755,"log_linear_interpolation_2001_2011",24.5878831366945,79.0505754285088
"pc2001__01__09","2005-06",1,"DODA",14249,24984,113001,NA,113001,100355,12646,1768,102,1870,6807,190,26,113001,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,12.6096229236909,22.1095388536385,36.3189151989397,11.1910514066247,5.45454545454545,10.1604278074866,1.3903743315508,16.6007051564566,NA,155669,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__10","2005-06",1,"UDHAMPUR",25648,69636,135220,NA,135220,104950,30270,1607,207,1814,7553,143,300,135220,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,18.9676083419612,51.4982990681852,26.917425800764,22.3857417541784,11.4112458654906,7.88313120176406,16.5380374862183,17.9028200714948,NA,152890,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__11","2005-06",1,"PUNCH",19858,764,70527,NA,70527,57185,13342,965,105,1070,3984,45,55,70527,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,28.1565925106697,1.08327307272392,96.2952186984774,18.9175776652913,9.81308411214953,4.20560747663551,5.14018691588785,17.7025602409639,88084.7876237717,82793,95014,0.0137680732409319,"log_linear_interpolation_2001_2011",22.5441878622874,80.0671738021727
"pc2001__01__12","2005-06",1,"RAJAURI",42722,14380,100391,NA,100391,75468,24923,1201,172,1373,5476,83,184,100391,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,42.5556075743842,14.3239931866402,74.8169941508178,24.8259306113098,12.5273124544792,6.04515659140568,13.401310997815,18.3329072315559,NA,103559,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__13","2005-06",1,"JAMMU",140444,108366,256085,NA,256085,100073,156012,1507,930,2437,14481,99,1038,256085,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,54.8427280004686,42.3164183767109,56.4462843133315,60.9219595056329,38.1616741895773,4.06237176856791,42.5933524825605,17.6842068917892,NA,274361,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__14","2005-06",1,"KATHUA",29146,54803,97389,NA,97389,64034,33355,1171,297,1468,6277,88,369,97389,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,29.9274045323394,56.2722689420776,34.7186982572752,34.2492478616682,20.2316076294278,5.99455040871935,25.1362397820164,15.5152142743349,NA,105720,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__02__01","2005-06",1,"CHAMBA",5077,85890,91915,NA,91915,87342,4573,1444,49,1493,4539,188,391,91915,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,5.52358156992874,93.4450307349181,5.58114481075555,4.97524887123973,3.28198258539853,12.5920964501005,26.1888814467515,20.2500550782111,90284.2858411726,92413,87749,-0.00517871951224057,"log_linear_interpolation_2001_2011",5.62334846280051,101.806199322101
"pc2001__02__02","2005-06",1,"KANGRA",32034,196002,228814,NA,228814,176972,51842,2469,443,2912,9750,299,744,228814,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,14.0000174814478,85.6599683585795,14.0477819291691,22.6568304386969,15.2129120879121,10.2678571428571,25.5494505494506,23.4681025641026,218046.550003149,227168,207394,-0.00910694660846463,"log_linear_interpolation_2001_2011",14.6913583358862,104.93814279414
"pc2001__02__03","2005-06",1,"LAHUL & SPITI",56,4104,4552,NA,4552,4307,245,272,3,275,762,38,39,4552,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,1.23022847100176,90.158172231986,1.34615384615385,5.38224956063269,1.09090909090909,13.8181818181818,14.1818181818182,5.9737532808399,NA,4615,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__02__04","2005-06",1,"KULLU",5578,70983,77423,NA,77423,68490,8933,927,74,1001,3348,118,400,77423,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,7.20457745114501,91.6820583030882,7.28569376053082,11.5379150898312,7.39260739260739,11.7882117882118,39.96003996004,23.1251493428913,68083.2646184432,71502,64126,-0.0108875523425474,"log_linear_interpolation_2001_2011",8.1929091257016,113.718107429042
"pc2001__02__05","2005-06",1,"MANDI",9935,144652,159404,NA,159404,135305,24099,2298,282,2580,8059,228,570,159404,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,6.23259140297609,90.7455270884043,6.42680173623914,15.1181902587137,10.9302325581395,8.83720930232558,22.093023255814,19.7796252636804,NA,157071,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__02__07","2005-06",1,"UNA",6432,70522,78277,NA,78277,64188,14089,726,128,854,3047,75,355,78277,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,8.21697305721987,90.0928753018128,8.35823998752502,17.9989013375576,14.9882903981265,8.78220140515223,41.5690866510539,25.6898588775845,NA,77514,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__02__09","2005-06",1,"SOLAN",10948,75882,88959,NA,88959,72715,16244,1029,103,1132,4303,79,462,88959,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,12.3067930170078,85.2999696489394,12.6085454336059,18.2600973482166,9.09893992932862,6.97879858657244,40.8127208480565,20.6737160120846,82865.4871791823,82644,83137,0.000594762310868009,"log_linear_interpolation_2001_2011",13.2117729258344,107.353499060039
"pc2001__02__10","2005-06",1,"SIRMAUR",NA,46,87265,NA,87265,82077,5188,1250,40,1290,4160,123,475,87265,"grade_i_viii_sum",NA,1,FALSE,TRUE,FALSE,TRUE,NA,0.0527130006302641,NA,5.94510972325675,3.10077519379845,9.53488372093023,36.8217054263566,20.9771634615385,87626.4722032913,88942,86045,-0.00331140566827805,"log_linear_interpolation_2001_2011",NA,99.5874851580779
"pc2001__02__11","2005-06",1,"SHIMLA",5753,105865,115011,NA,115011,106164,8847,2213,68,2281,7183,263,394,115011,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,5.00213023102138,92.0477171748789,5.15418660072748,7.69230769230769,2.98114861902674,11.5300306882946,17.2731258220079,16.0115550605597,NA,120305,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__02__12","2005-06",1,"KINNAUR",1534,12492,14043,NA,14043,13010,1033,273,15,288,900,16,45,14043,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,10.9235918251086,88.9553514206366,10.93683159846,7.35597806736452,5.20833333333333,5.55555555555556,15.625,15.6033333333333,11671.971889067,12687,10541,-0.0185305431885409,"log_linear_interpolation_2001_2011",13.142595052314,120.313860703811
"pc2001__03__01","2005-06",1,"GURDASPUR",659,387,77776,NA,77776,76585,1191,1377,102,1479,2493,331,670,77776,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.847305081259,0.497582801892615,63.0019120458891,1.53132071590208,6.89655172413793,22.3799864773496,45.3008789722786,31.1977537103891,NA,385572,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__03__02","2005-06",1,"AMRITSAR",0,3019,263772,NA,263772,239957,23815,1967,77,2044,6026,279,1634,263772,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,1.14454908026629,0,9.028630787195,3.76712328767123,13.6497064579256,79.9412915851272,43.7723199468968,NA,584706,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__03__03","2005-06",1,"KAPURTHALA",1698,4587,77807,NA,77807,69189,8618,750,18,768,2569,133,259,77807,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.18232292724305,5.89535645893043,27.0167064439141,11.0761242561723,2.34375,17.3177083333333,33.7239583333333,30.2868820552744,126226.463910756,136137,115088,-0.0167964678512737,"log_linear_interpolation_2001_2011",1.34520127348296,61.6407982837978
"pc2001__03__04","2005-06",1,"JALANDHAR",6030,15536,185966,NA,185966,158047,27919,1429,87,1516,5486,209,953,185966,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,3.24252820408032,8.3542152866653,27.9606788463322,15.0129593581622,5.73878627968338,13.7862796833773,62.8627968337731,33.8982865475756,315464.732037502,331991,296379,-0.0113468819405805,"log_linear_interpolation_2001_2011",1.91146565292857,58.9498543304336
"pc2001__03__05","2005-06",1,"HOSHIARPUR",17128,13226,211160,NA,211160,159429,51731,1766,367,2133,8861,374,1434,211160,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,8.11138473195681,6.26349687440803,56.4274889635633,24.49848456147,17.2058134083451,17.5339896858884,67.2292545710267,23.8302674641688,NA,256447,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__03__06","2005-06",1,"NAWANSHAHR",NA,1332,62060,NA,62060,57964,4096,632,19,651,2016,91,498,62060,"grade_i_viii_sum",NA,1,FALSE,TRUE,FALSE,TRUE,NA,2.14631002255881,NA,6.60006445375443,2.91858678955453,13.9784946236559,76.4976958525346,30.7837301587302,NA,102910,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__03__08","2005-06",1,"FATEHGARH SAHIB",7,71,43864,NA,43864,43812,52,550,2,552,1643,142,394,43864,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.015958416925041,0.161863943096845,8.97435897435897,0.118548240014591,0.36231884057971,25.7246376811594,71.3768115942029,26.6975045648205,87692.274910227,94291,80251,-0.0161226522008205,"log_linear_interpolation_2001_2011",0.00798245912443952,50.020369576345
"pc2001__03__09","2005-06",1,"LUDHIANA",4954,12555,212354,NA,212354,182250,30104,1464,137,1601,7089,217,1143,212354,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.33289695508443,5.91229739020692,28.2940202181735,14.1763282066738,8.55715178013741,13.5540287320425,71.3928794503435,29.9554238961772,NA,517533,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__03__10","2005-06",1,"MOGA",2540,992,120399,NA,120399,95269,25130,606,144,750,3671,79,578,120399,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.10965207352221,0.823927109029145,71.9139297848245,20.87226638095,19.2,10.5333333333333,77.0666666666667,32.7973304276764,153988.084310669,164394,142160,-0.0145312801759311,"log_linear_interpolation_2001_2011",1.64947827708252,78.1872185364009
"pc2001__03__12","2005-06",1,"MUKTSAR",3572,927,87056,NA,87056,73760,13296,527,72,599,2746,41,510,87056,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,4.1031060466826,1.06483183238375,79.3954212047122,15.2729277706304,12.0200333889816,6.84474123539232,85.1419031719533,31.7028404952658,137690.326852846,144198,130134,-0.0102622666320619,"log_linear_interpolation_2001_2011",2.59422726464838,63.2259375003442
"pc2001__03__13","2005-06",1,"FARIDKOT",8558,1755,78176,NA,78176,57371,20805,406,71,477,2637,19,381,78176,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,10.9470937372084,2.24493450675399,82.982643265781,26.613027015964,14.8846960167715,3.9832285115304,79.874213836478,29.6458096321578,95506.0667671686,102608,87490,-0.0159391401288334,"log_linear_interpolation_2001_2011",8.96068730467489,81.8544859465137
"pc2001__03__14","2005-06",1,"BATHINDA",6972,1852,174267,NA,174267,115057,59210,677,449,1126,5684,126,919,174267,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,4.00075745838283,1.0627370643897,79.011786038078,33.9765991266275,39.8756660746004,11.190053285968,81.6163410301954,30.6592188599578,202614.477212523,214137,189370,-0.0122913223830698,"log_linear_interpolation_2001_2011",3.44101768832987,86.0091551193604
"pc2001__03__15","2005-06",1,"MANSA",3996,40,80371,NA,80371,78558,1813,470,4,474,1952,42,344,80371,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,4.97194261611775,0.0497691953565341,99.0089197224975,2.25578877953491,0.843881856540084,8.86075949367089,72.5738396624473,41.1736680327869,122894.801330181,132458,112139,-0.0166526440813945,"log_linear_interpolation_2001_2011",3.25156146293281,65.3982097941373
"pc2001__03__16","2005-06",1,"SANGRUR",7811,6740,208198,NA,208198,175523,32675,1358,209,1567,6134,206,1247,208198,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,3.75171711543819,3.23730295199762,53.6801594392138,15.6941949490389,13.3375877472878,13.1461391193363,79.5788130185067,33.941636778611,NA,369702,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__03__17","2005-06",1,"PATIALA",15503,7638,192002,NA,192002,179557,12445,1550,31,1581,5414,319,1210,192002,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,8.07439505838481,3.97808356162957,66.9936476383907,6.48170331559046,1.96078431372549,20.1771030993042,76.5338393421885,35.4639822681936,NA,333909,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__01","2005-06",1,"UTTARKASHI",1660,56540,58948,NA,58948,50631,8317,960,86,1046,3414,100,223,58948,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.81604125670082,95.9150437673882,2.85223367697595,14.1090452602294,8.22179732313576,9.56022944550669,21.3193116634799,17.2665495020504,NA,61111,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__02","2005-06",1,"CHAMOLI",1975,78040,80304,NA,80304,65551,14753,1279,187,1466,3644,322,441,80304,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.45940426379757,97.1807132894999,2.46828719615072,18.3714385335724,12.7557980900409,21.9645293315143,30.0818553888131,22.0373216245884,NA,74050,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__03","2005-06",1,"RUDRAPRAYAG",136,39752,47997,NA,47997,40111,7886,703,115,818,1850,145,98,47997,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.283351042773507,82.8218430318562,0.340954673084637,16.4301935537638,14.0586797066015,17.7261613691932,11.9804400977995,25.9443243243243,NA,46128,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__04","2005-06",1,"TEHRI GARHWAL",0,134265,134265,NA,134265,107436,26829,1804,260,2064,5412,262,544,134265,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,100,0,19.9821249022456,12.5968992248062,12.6937984496124,26.3565891472868,24.8087583148559,NA,125050,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__05","2005-06",1,"DEHRADUN",3311,126860,131656,NA,131656,89362,42294,1136,398,1534,4091,250,674,131656,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.51488728200766,96.357173239351,2.54357729448187,32.1246278179498,25.9452411994785,16.2972620599739,43.9374185136897,32.181862625275,NA,237879,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__06","2005-06",1,"GARHWAL",1781,108987,112173,NA,112173,108840,3333,2473,34,2507,5095,560,1353,112173,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,1.58772610164656,97.1597443235003,1.60786508738986,2.97130325479393,1.35620263262864,22.3374551256482,53.968887116075,22.0162904808636,NA,132889,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__07","2005-06",1,"PITHORAGARH",2715,88182,91015,NA,91015,71407,19608,1492,214,1706,5294,353,353,91015,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.9830247761358,96.8873262649014,2.98689725733523,21.5437015876504,12.5439624853458,20.6916764361079,20.6916764361079,17.1921042689838,NA,90861,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__08","2005-06",1,"BAGESHWAR",NA,42841,42803,NA,42803,35712,7091,712,89,801,1843,172,303,42803,"grade_i_viii_sum",NA,1,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,16.5665957993599,11.1111111111111,21.4731585518102,37.8277153558052,23.2246337493218,47184.6145696983,49554,44442,-0.0108878015797428,"log_linear_interpolation_2001_2011",NA,90.713891361291
"pc2001__05__09","2005-06",1,"ALMORA",304,94596,100018,NA,100018,85161,14857,1676,130,1806,2987,595,367,100018,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.303945289847827,94.5789757843588,0.320337197049526,14.8543262212802,7.19822812846069,32.9457364341085,20.3211517165006,33.484432541011,118110.816809531,128637,106408,-0.0189713722212203,"log_linear_interpolation_2001_2011",0.257385401449081,84.6814904017572
"pc2001__05__10","2005-06",1,"CHAMPAWAT",NA,197,44872,NA,44872,37951,6921,611,66,677,1673,218,466,44872,"grade_i_viii_sum",NA,1,FALSE,TRUE,FALSE,TRUE,NA,0.439026564449991,NA,15.4238723480121,9.74889217134417,32.2008862629247,68.8330871491876,26.8212791392708,NA,48016,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__11","2005-06",1,"NAINITAL",3864,94910,109367,NA,109367,78216,31151,1517,229,1746,4765,254,991,109367,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,3.53305841798714,86.7812045681056,3.9119606374147,28.4829976135397,13.1156930126002,14.5475372279496,56.758304696449,22.9521511017838,NA,151127,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__12","2005-06",1,"UDHAM SINGH NAGAR",1719,192420,205652,NA,205652,149142,56510,1106,420,1526,6580,33,1091,205652,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.835878085309163,93.5658296539786,0.885448055259376,27.4784587555677,27.5229357798165,2.16251638269987,71.4941022280472,31.254103343465,NA,275112,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__05__13","2005-06",1,"HARDWAR",3963,184437,188626,NA,188626,119093,69533,753,457,1210,4859,74,889,188626,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.10098289737364,97.7792032911688,2.10350318471338,36.8628927083223,37.7685950413223,6.11570247933884,73.4710743801653,38.8199217946079,330585.437149753,314208,351766,0.011291099482458,"log_linear_interpolation_2001_2011",1.19878238865216,57.0581697809495
"pc2001__06__01","2005-06",1,"PANCHKULA",2109,36259,40791,NA,40791,35903,4888,345,21,366,1326,31,234,40791,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,5.17025814517908,88.8897060626119,5.49676814011676,11.9830354735113,5.73770491803279,8.46994535519126,63.9344262295082,30.762443438914,81765.4135339124,80726,83054,0.00284302943524876,"log_linear_interpolation_2001_2011",2.57933019457584,49.8878416154305
"pc2001__06__02","2005-06",1,"AMBALA",0,77496,78805,NA,78805,75309,3496,655,9,664,2699,58,493,78805,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,98.338937884652,0,4.43626673434427,1.35542168674699,8.73493975903614,74.2469879518072,29.1978510559466,168694.324508453,180794,155000,-0.0153933144647459,"log_linear_interpolation_2001_2011",0,46.7146717766733
"pc2001__06__03","2005-06",1,"YAMUNANAGAR",125,97870,100172,NA,100172,91795,8377,795,36,831,3000,77,563,100172,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.124785369165036,97.7019526414567,0.127557528445329,8.36261629996406,4.33212996389892,9.26594464500602,67.7496991576414,33.3906666666667,188922.709965769,195251,181466,-0.00732176020124385,"log_linear_interpolation_2001_2011",0.0661646236297631,53.022741425925
"pc2001__06__04","2005-06",1,"KURUKSHETRA",719,85841,87408,NA,87408,82018,5390,685,28,713,2721,72,581,87408,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.822579168954787,98.2072579168955,0.830637707948244,6.16648361706022,3.92706872370266,10.0981767180926,81.4866760168303,32.1234840132304,149144.182729122,155410,141828,-0.00914517301094167,"log_linear_interpolation_2001_2011",0.482083837829504,58.6063756564691
"pc2001__06__05","2005-06",1,"KAITHAL",0,109181,117121,NA,117121,101159,15962,531,59,590,3124,22,448,117121,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,93.220686298785,0,13.628640465843,10,3.72881355932203,75.9322033898305,37.4907170294494,181320.697189492,191588,169516,-0.0122399915449436,"log_linear_interpolation_2001_2011",0,64.5932879232209
"pc2001__06__06","2005-06",1,"KARNAL",6107,150364,156471,NA,156471,131730,24741,762,84,846,4706,57,643,156471,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,3.90295965386557,96.0970403461344,3.90295965386557,15.8118756830339,9.9290780141844,6.73758865248227,76.0047281323877,33.2492562685933,245251.716800992,253530,235500,-0.00737712457680282,"log_linear_interpolation_2001_2011",2.49009469929847,63.8001650063748
"pc2001__06__07","2005-06",1,"PANIPAT",0,82065,85561,NA,85561,85561,0,450,0,450,2272,31,321,85561,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,95.9140262502776,0,0,0,6.88888888888889,71.3333333333333,37.6588908450704,200688.271293713,198157,203826,0.00282070429213323,"log_linear_interpolation_2001_2011",0,42.6337819586771
"pc2001__06__08","2005-06",1,"SONIPAT",0,111724,112070,NA,112070,112070,0,722,0,722,4128,34,571,112070,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,99.6912643883287,0,0,0,4.70914127423823,79.0858725761773,27.1487403100775,243031.919481382,253650,230656,-0.00950279409069357,"log_linear_interpolation_2001_2011",0,46.1132843122631
"pc2001__06__09","2005-06",1,"JIND",0,132465,136884,NA,136884,136587,297,751,1,752,4445,21,522,136884,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,96.7717191198387,0,0.216972034715526,0.132978723404255,2.79255319148936,69.4148936170213,30.7950506186727,231864.124850116,244427,217383,-0.011725592106987,"log_linear_interpolation_2001_2011",0,59.0362998538415
"pc2001__06__10","2005-06",1,"FATEHABAD",132,99971,100620,NA,100620,94961,5659,583,32,615,2435,25,464,100620,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.13118664281455,99.3549990061618,0.131864179894708,5.62413039157225,5.20325203252033,4.0650406504065,75.4471544715447,41.3223819301848,160880.301947433,167749,152866,-0.00929070939349722,"log_linear_interpolation_2001_2011",0.0820485779813681,62.5433933067065
"pc2001__06__11","2005-06",1,"SIRSA",4447,166621,182575,NA,182575,144199,38376,902,150,1052,4755,62,683,182575,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.43571135149938,91.2616732849514,2.59955105572053,21.0193071340545,14.2585551330798,5.893536121673,64.9239543726236,38.3964248159832,215520.142618535,226548,202768,-0.0110894374661198,"log_linear_interpolation_2001_2011",2.06338022329127,84.7136596058926
"pc2001__06__12","2005-06",1,"HISAR",767,130380,137283,NA,137283,136836,447,785,5,790,3795,24,532,137283,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.5586999118609,94.9717007932519,0.584839912464639,0.325604772622976,0.632911392405063,3.0379746835443,67.3417721518987,36.1747035573123,NA,312780,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__06__13","2005-06",1,"BHIWANI",391,146591,148217,NA,148217,141194,7023,907,37,944,4872,45,707,148217,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.263802397835606,98.90295984941,0.266018968309045,4.73832286444875,3.91949152542373,4.76694915254237,74.8940677966102,30.4222085385878,NA,289335,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__06__14","2005-06",1,"ROHTAK",0,77313,78278,NA,78278,77670,608,404,5,409,2741,10,305,78278,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,98.7672142875393,0,0.776718873757633,1.22249388753056,2.44498777506112,74.5721271393643,28.5581904414447,170294.098364164,177387,162009,-0.00906818972239956,"log_linear_interpolation_2001_2011",0,45.9663609907415
