"target_unit_2001","academic_year","dise_source_district_count","dise_source_districts","dise_english_enrollment","dise_hindi_enrollment","dise_grade_enrollment","dise_direct_enrollment","dise_management_enrollment","dise_government_enrollment","dise_private_enrollment","dise_government_schools","dise_private_schools","dise_total_schools","dise_total_teachers","dise_single_teacher_schools","dise_girls_toilet_schools","dise_total_enrollment","dise_total_enrollment_source","dise_direct_to_grade_enrollment_ratio","dise_management_to_grade_enrollment_ratio","dise_english_identity_resolved","dise_hindi_identity_resolved","dise_english_count_valid","dise_hindi_count_valid","dise_emi_enrollment_share_total","dise_hindi_enrollment_share_total","dise_english_share_english_hindi","dise_private_enrollment_share","dise_private_school_share","dise_single_teacher_school_share","dise_girls_toilet_school_share","dise_pupils_per_teacher","census_age_6_13_population","census_age_6_13_population_2001","census_age_6_13_population_2011","census_age_6_13_annual_log_growth_2001_2011","census_age_6_13_population_method","dise_emi_gross_enrollment_ratio_age_6_13","dise_elementary_gross_enrollment_ratio_age_6_13"
"pc2001__10__28","2006-07",1,"PATNA",0,660783,692582,NA,692582,690841,1741,3428,15,3443,11729,395,742,692582,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,95.4086303138112,0,0.251378176158202,0.435666569851873,11.4725530060993,21.5509729886727,59.0486827521528,1109950.61754423,1024222,1185403,0.0146149501164423,"log_linear_interpolation_2001_2011",0,62.3975507606222
"pc2001__10__29","2006-07",1,"BHOJPUR",80141,77701,573569,NA,573569,482325,91244,1913,268,2181,7796,244,593,573569,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,13.9723381145076,13.5469315810304,50.7729248235577,15.9081121887689,12.2879413113251,11.1875286565796,27.1893626776708,73.572216521293,NA,514419,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__10__30","2006-07",1,"BUXAR",6077,217332,285932,NA,285932,266260,19672,908,92,1000,4705,72,139,285932,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.1253304981604,76.0082816893527,2.72012318214575,6.87995747240603,9.2,7.2,13.9,60.7719447396387,348737.12459004,323267,371062,0.0137890557405041,"log_linear_interpolation_2001_2011",1.74257329418078,81.9906972439854
"pc2001__10__31","2006-07",1,"KAIMUR (BHABUA)",3454,36420,303208,NA,303208,303208,0,955,0,955,5091,9,228,303208,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,1.13915200126646,12.0115564233134,8.66228620153483,0,0,0.942408376963351,23.8743455497382,59.5576507562365,330939.113479139,290495,368184,0.0236996448770698,"log_linear_interpolation_2001_2011",1.04369651676659,91.620478707517
"pc2001__10__32","2006-07",1,"ROHTAS",844,411727,437855,NA,437855,429215,8640,1749,27,1776,8420,36,293,437855,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.192757876465953,94.0327277294995,0.204570849623459,1.9732559865709,1.52027027027027,2.02702702702703,16.4977477477477,52.0017814726841,606728.32806864,555290,652339,0.0161073865654094,"log_linear_interpolation_2001_2011",0.139106740357196,72.1665661126778
"pc2001__10__33","2006-07",1,"JEHANABAD",3,258965,270980,NA,270980,270819,161,1121,1,1122,4607,64,129,270980,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.00110709277437449,95.5660934386302,0.00115844428655278,0.0594139788914311,0.089126559714795,5.70409982174688,11.4973262032086,58.8191881918819,NA,341729,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__10__35","2006-07",1,"GAYA",1162,595241,633861,NA,633861,633861,0,2701,0,2701,9081,426,484,633861,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0.183320948914667,93.9071815429566,0.194834700697347,0,0,15.7719363198815,17.9192891521659,69.800792864222,901941.850263489,816282,978672,0.0181436667145187,"log_linear_interpolation_2001_2011",0.128833139260645,70.2773687477554
"pc2001__10__36","2006-07",1,"NAWADA",0,249580,280422,NA,280422,279255,1167,1241,4,1245,3865,79,62,280422,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,89.0015761958762,0,0.416158503969018,0.321285140562249,6.34538152610442,4.97991967871486,72.5542043984476,477245.309854642,432844,516941,0.0177551362122793,"log_linear_interpolation_2001_2011",0,58.7584611539525
"pc2001__10__37","2006-07",1,"JAMUI",0,222595,227916,NA,227916,227916,0,961,0,961,3525,106,105,227916,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,0,97.6653679425753,0,0,0,11.0301768990635,10.9261186264308,64.6570212765957,361435.310590308,328649,390679,0.0172895938982088,"log_linear_interpolation_2001_2011",0,63.0585870616128
"pc2001__12__01","2006-07",1,"TAWANG",6708,NA,6759,NA,6759,6659,100,175,2,177,585,77,17,6759,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,99.2454505104305,NA,NA,1.47950880307738,1.12994350282486,43.5028248587571,9.6045197740113,11.5538461538462,7649.99805587901,7386,7873,0.00638528677719588,"log_linear_interpolation_2001_2011",87.6862967938262,88.3529636299152
"pc2001__12__02","2006-07",1,"WEST KAMENG",13259,NA,13889,NA,13889,11666,2223,144,14,158,845,40,32,13889,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,95.4640362877097,NA,NA,16.0054719562244,8.86075949367089,25.3164556962025,20.253164556962,16.4366863905325,NA,15165,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__12__03","2006-07",1,"EAST KAMENG",10921,82,11169,NA,11169,10504,665,157,6,163,444,110,16,11169,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,97.7795684483839,0.73417494851822,99.2547487048987,5.95397976542215,3.68098159509202,67.4846625766871,9.8159509202454,25.1554054054054,NA,13345,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__12__04","2006-07",1,"PAPUM PARE",31311,NA,31647,NA,31647,27583,4064,172,22,194,1391,29,47,31647,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,98.9382879893829,NA,NA,12.841659556988,11.340206185567,14.9484536082474,24.2268041237113,22.7512580877067,NA,27714,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__12__05","2006-07",2,"KURUNG KUMEY;LOWER SUBANSIRI",40162,31,40558,NA,40558,36121,4437,526,25,551,1450,358,36,40558,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,99.0236204941072,0.0764337491986784,99.9228721419153,10.9398885546625,4.53720508166969,64.97277676951,6.53357531760436,27.9710344827586,NA,23300,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__12__06","2006-07",1,"UPPER SUBANSIRI",22062,NA,22187,NA,22187,20183,2004,386,10,396,949,270,16,22187,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,99.4366070221301,NA,NA,9.03231622121062,2.52525252525253,68.1818181818182,4.04040404040404,23.3793466807165,NA,13058,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__12__07","2006-07",1,"WEST SIANG",27257,NA,27317,NA,27317,24438,2879,347,15,362,1501,150,45,27317,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,99.7803565545265,NA,NA,10.5392246586375,4.14364640883978,41.4364640883978,12.4309392265193,18.199200532978,NA,24716,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__12__08","2006-07",1,"EAST SIANG",23908,540,24618,NA,24618,22831,1787,217,12,229,1404,67,46,24618,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,97.1159314322853,2.19351693882525,97.7912303664921,7.25891624014948,5.24017467248908,29.2576419213974,20.0873362445415,17.534188034188,NA,19258,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__12__09","2006-07",1,"UPPER SIANG",13104,NA,13185,NA,13185,13054,131,105,2,107,498,33,10,13185,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,99.3856655290102,NA,NA,0.9935532802427,1.86915887850467,30.8411214953271,9.34579439252336,26.4759036144578,6823.97796637961,6779,6861,0.00120236052599253,"log_linear_interpolation_2001_2011",192.028756021207,193.215746958151
"pc2001__12__10","2006-07",2,"DIBANG VALLEY;LOWER DIBANG VALLEY",13520,NA,13520,NA,13520,12457,1063,140,5,145,637,64,28,13520,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,100,NA,NA,7.86242603550296,3.44827586206897,44.1379310344828,19.3103448275862,21.2244897959184,12540.9814501538,12937,12226,-0.00565265913292312,"log_linear_interpolation_2001_2011",107.80655448489,107.80655448489
"pc2001__12__11","2006-07",1,"LOHIT",26518,0,26550,NA,26550,24746,1804,307,14,321,1272,144,52,26550,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,99.879472693032,0,100,6.79472693032015,4.3613707165109,44.8598130841121,16.1993769470405,20.872641509434,NA,31786,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__12__12","2006-07",1,"CHANGLANG",23412,0,23443,NA,23443,23117,326,336,2,338,957,190,44,23443,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,99.8677643646291,0,100,1.39060700422301,0.591715976331361,56.2130177514793,13.0177514792899,24.496342737722,28681.8926460537,27208,29947,0.00959181048946124,"log_linear_interpolation_2001_2011",81.6264124857926,81.7344946140627
"pc2001__12__13","2006-07",1,"TIRAP",18031,NA,18031,NA,18031,15628,2403,156,13,169,721,43,22,18031,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,100,NA,NA,13.3270478620154,7.69230769230769,25.4437869822485,13.0177514792899,25.0083217753121,23455.1422267382,22494,24272,0.00760748156243464,"log_linear_interpolation_2001_2011",76.8744006141441,76.8744006141441
"pc2001__13__01","2006-07",1,"MON",56737,234,57766,NA,57766,26998,30768,208,70,278,1920,2,53,57766,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,98.2186753453589,0.405082574524807,99.5892647136262,53.2631651836721,25.1798561151079,0.719424460431655,19.0647482014388,30.0864583333333,55518.4399262055,57863,53671,-0.00752053290970154,"log_linear_interpolation_2001_2011",102.194874487493,104.048312734979
"pc2001__13__02","2006-07",1,"TUENSANG",68327,0,70395,NA,70395,40933,29462,382,99,481,4073,10,118,70395,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,97.0622913559202,0,100,41.8524042900774,20.5821205821206,2.07900207900208,24.5322245322245,17.2833292413454,NA,96387,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__13__03","2006-07",1,"MOKOKCHUNG",55721,0,55885,NA,55885,20236,35649,233,66,299,2796,0,109,55885,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,99.7065402165161,0,100,63.7899257403597,22.0735785953177,0,36.4548494983278,19.9874821173104,37083.7601218359,43470,32563,-0.0288894370518631,"log_linear_interpolation_2001_2011",150.257147109497,150.699389210787
"pc2001__13__04","2006-07",1,"ZUNHEBOTO",32787,0,32861,NA,32861,15975,16886,203,54,257,1975,13,103,32861,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,99.7748090441557,0,100,51.3861416268525,21.011673151751,5.05836575875486,40.0778210116732,16.6384810126582,31810.7421074694,35786,28889,-0.0214095855643912,"log_linear_interpolation_2001_2011",103.068956672662,103.301582493682
"pc2001__13__05","2006-07",1,"WOKHA",44984,712,46371,NA,46371,22541,23830,135,54,189,1123,12,32,46371,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,97.0089064285868,1.53544241012702,98.4418767507003,51.3898772939984,28.5714285714286,6.34920634920635,16.9312169312169,41.2920747996438,33026.2103621827,36574,30381,-0.0185520192434184,"log_linear_interpolation_2001_2011",136.206968667255,140.406663348508
"pc2001__13__06","2006-07",1,"DIMAPUR",114276,150,116619,NA,116619,42638,73981,239,143,382,3421,2,194,116619,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,97.9908934221696,0.128623980654953,99.8689109118557,63.4382047522273,37.434554973822,0.523560209424084,50.7853403141361,34.0891552177726,NA,65397,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__13__07","2006-07",1,"KOHIMA",54689,33,54735,NA,54735,20537,34198,283,125,408,4212,16,122,54735,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,99.9159587101489,0.0602904905453549,99.9396951865794,62.4792180506075,30.6372549019608,3.92156862745098,29.9019607843137,12.9950142450142,NA,65935,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__13__08","2006-07",1,"PHEK",36140,0,36807,NA,36807,16333,20474,179,64,243,1555,6,54,36807,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,98.1878447034532,0,100,55.6252886679164,26.3374485596708,2.46913580246914,22.2222222222222,23.6700964630225,NA,34532,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__14__01","2006-07",1,"SENAPATI",44637,2042,51946,NA,51946,29328,22618,401,146,547,2752,69,73,51946,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,85.9296192199592,3.93100527470835,95.6254418475117,43.5413698841104,26.691042047532,12.6142595978062,13.345521023766,18.875726744186,NA,31650,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__14__02","2006-07",1,"TAMENGLONG",860,216,27476,NA,27476,18326,9150,223,44,267,1234,53,14,27476,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,3.13000436744795,0.786140631824137,79.9256505576208,33.3017906536614,16.4794007490637,19.8501872659176,5.2434456928839,22.2658022690438,NA,22144,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__14__03","2006-07",1,"CHURACHANDPUR",25417,0,48266,NA,48266,21459,26807,329,171,500,2646,93,53,48266,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,52.6602577383666,0,100,55.5401317697758,34.2,18.6,10.6,18.2411186696901,NA,44820,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__14__04","2006-07",1,"BISHNUPUR",20727,0,42221,NA,42221,15846,26375,197,142,339,2127,37,71,42221,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,49.0916842329646,0,100,62.468913573814,41.8879056047198,10.9144542772861,20.9439528023599,19.8500235072873,38563.3658356271,37232,39688,0.00638802684388118,"log_linear_interpolation_2001_2011",53.747901799721,109.484737872631
"pc2001__14__05","2006-07",1,"THOUBAL",30083,1228,67363,NA,67363,23822,43541,298,211,509,3306,53,139,67363,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,44.6580467021956,1.82295919124742,96.0780556353997,64.6363730831465,41.4538310412574,10.4125736738703,27.3084479371316,20.375983061101,73293.5467793844,69851,76236,0.00874693900796351,"log_linear_interpolation_2001_2011",41.0445411934432,91.9085007616898
"pc2001__14__06","2006-07",1,"IMPHAL WEST",45275,827,71579,NA,71579,21341,50238,357,210,567,4175,32,155,71579,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,63.2517917266237,1.15536679752441,98.2061515769381,70.1853895695665,37.037037037037,5.64373897707231,27.336860670194,17.1446706586826,73810.5339534522,71497,75759,0.00579017584353535,"log_linear_interpolation_2001_2011",61.3394830994614,96.9766727946183
"pc2001__14__07","2006-07",1,"IMPHAL EAST",48362,0,86599,NA,86599,30947,55652,353,235,588,3973,47,137,86599,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,55.8459104608598,0,100,64.264021524498,39.9659863945578,7.99319727891156,23.2993197278912,21.7968789327964,NA,71890,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__14__08","2006-07",1,"UKHRUL",2118,0,30216,NA,30216,29308,908,270,14,284,1208,48,3,30216,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,7.00953137410643,0,100,3.00503044744506,4.92957746478873,16.9014084507042,1.05633802816901,25.0132450331126,31234.6625542381,28356,33806,0.0175799653535215,"log_linear_interpolation_2001_2011",6.78092806772653,96.738679175838
"pc2001__14__09","2006-07",1,"CHANDEL",35083,0,36524,NA,36524,20219,16305,183,85,268,1229,38,44,36524,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,96.0546489979192,0,100,44.641879312233,31.7164179104478,14.1791044776119,16.4179104477612,29.7184703010578,NA,21856,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__15__01","2006-07",1,"MAMIT",3408,0,25504,NA,25504,22265,3239,233,33,266,1108,14,34,25504,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,13.3626097867001,0,100,12.6999686323714,12.406015037594,5.26315789473684,12.781954887218,23.0180505415162,14641.6958610138,12998,16140,0.0216505163369646,"log_linear_interpolation_2001_2011",23.2759922918111,174.187472831676
"pc2001__15__02","2006-07",1,"KOLASIB",5250,0,20464,NA,20464,17154,3310,151,37,188,1017,1,36,20464,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,25.654808444097,0,100,16.1747458952307,19.6808510638298,0.531914893617021,19.1489361702128,20.1219272369715,13840.9215435875,12846,14712,0.0135631008466419,"log_linear_interpolation_2001_2011",37.9310003562033,147.851426912256
"pc2001__15__03","2006-07",1,"AIZAWL",31494,0,75822,NA,75822,50048,25774,531,193,724,5474,2,217,75822,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,41.5367571417267,0,100,33.9927725462267,26.6574585635359,0.276243093922652,29.9723756906077,13.8512970405554,NA,57133,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__15__04","2006-07",1,"CHAMPHAI",5937,0,27218,NA,27218,22402,4816,292,67,359,1895,6,60,27218,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,21.8127709603939,0,100,17.6941729737674,18.6629526462396,1.67130919220056,16.7130919220056,14.3630606860158,NA,21787,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__15__05","2006-07",1,"SERCHHIP",3291,NA,12044,NA,12044,10685,1359,165,20,185,1022,0,20,12044,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,27.3248090335437,NA,NA,11.2836267020923,10.8108108108108,0,10.8108108108108,11.7847358121331,NA,10786,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__15__06","2006-07",1,"LUNGLEI",7083,0,28610,NA,28610,21227,7383,381,111,492,2589,40,185,28610,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,24.7570779447746,0,100,25.8056623558196,22.5609756097561,8.13008130081301,37.6016260162602,11.0505986867516,NA,25754,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__15__07","2006-07",1,"LAWNGTLAI",18454,NA,27847,NA,27847,24265,3582,349,15,364,1640,2,18,27847,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,66.2692570115273,NA,NA,12.863145042554,4.12087912087912,0.54945054945055,4.94505494505495,16.9798780487805,19895.6650318428,15849,23964,0.041344629737139,"log_linear_interpolation_2001_2011",92.7538736225433,139.965163041452
"pc2001__15__08","2006-07",1,"SAIHA",3550,NA,9414,NA,9414,6864,2550,179,25,204,1280,2,23,9414,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,37.7097939239431,NA,NA,27.087316762269,12.2549019607843,0.980392156862745,11.2745098039216,7.3546875,NA,13527,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__16__01","2006-07",1,"WEST TRIPURA",15041,728,313012,NA,313012,278429,34583,1299,75,1374,16408,4,296,313012,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,4.80524708317892,0.232578942660345,95.3833470733718,11.0484582060752,5.4585152838428,0.291120815138282,21.5429403202329,19.0767918088737,260354.554432982,290818,237819,-0.0201187761815805,"log_linear_interpolation_2001_2011",5.7771219069923,120.225283049762
"pc2001__16__02","2006-07",1,"SOUTH TRIPURA",2457,NA,187290,NA,187290,182060,5230,1025,20,1045,7093,1,345,187290,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,1.31186929360884,NA,NA,2.79246088952961,1.91387559808612,0.0956937799043062,33.0143540669856,26.4049062455942,144984.99313363,152643,139006,-0.00935847639281719,"log_linear_interpolation_2001_2011",1.69465814833362,129.178886691658
"pc2001__16__03","2006-07",1,"DHALAI",1800,0,73277,NA,73277,71458,1819,595,7,602,3017,32,32,73277,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,2.45643244128444,0,100,2.48236145038689,1.16279069767442,5.3156146179402,5.3156146179402,24.2880344713291,66269.1014768611,66090,66416,0.00049205418283215,"log_linear_interpolation_2001_2011",2.71619798652091,110.574911032385
"pc2001__16__04","2006-07",1,"NORTH TRIPURA",5054,319,123946,NA,123946,118741,5205,627,31,658,4495,0,93,123946,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,4.07758217288174,0.257370145063173,94.0629071282338,4.19940942023139,4.7112462006079,0,14.1337386018237,27.5741935483871,116238.217618787,119698,113482,-0.00533276699502643,"log_linear_interpolation_2001_2011",4.34796756482882,106.631022514894
