"construct_id","variable","label","domain","source","vintage","unit","level","denominator","universe","stage","role","preferred","causal_status","comparable_to","alternative_to","authority"
"adult_secondary_plus_share_2001","adult_secondary_plus_share_2001","Secondary-plus share in 2001","baseline_covariate","Census 2001 C-08","2001","percent","district","","","pre_treatment_context","control",TRUE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"agricultural_labourer_share_workers_2001","agricultural_labourer_share_workers_2001","Agricultural labourer share of workers in 2001","baseline_covariate","SHRUG Census 2001 PCA","2001","percent","district","","","pre_treatment_context","control",FALSE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"agricultural_worker_share_2001","agricultural_worker_share_2001","Agricultural worker share in 2001","baseline_covariate","SHRUG Census 2001 PCA","2001","percent","district","","","pre_treatment_context","control",TRUE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"cultivator_share_workers_2001","cultivator_share_workers_2001","Cultivator share of workers in 2001","baseline_covariate","SHRUG Census 2001 PCA","2001","percent","district","","","pre_treatment_context","control",FALSE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"dependency_ratio_2001","dependency_ratio_2001","Dependency ratio in 2001","baseline_covariate","Census 2001 C-14","2001","percent","district","","","pre_treatment_context","control",TRUE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"electricity_access_share_2001","electricity_access_share_2001","Household electricity access in 2001","baseline_covariate","Census 2001 H-09","2001","percent","district","","","pre_treatment_context","control",TRUE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"literacy_share_2001","literacy_share_2001","Literacy share in 2001","baseline_covariate","SHRUG Census 2001 PCA","2001","percent","district","","","pre_treatment_context","control",FALSE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"log_population_2001","log_population_2001","Log population in 2001","baseline_covariate","SHRUG Census 2001 PCA","2001","log persons","district","","","pre_treatment_context","control",TRUE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"log_population_density_2001","log_population_density_2001","Log population density in 2001","baseline_covariate","SHRUG PCA and Census 2001 geometry","2001","log persons per sq km","district","","","pre_treatment_context","control",TRUE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"muslim_share_2001","muslim_share_2001","Muslim share in 2001","baseline_covariate","Census 2001 C-01","2001","percent","district","","","pre_treatment_context","control",TRUE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"sc_share_2001","sc_share_2001","Scheduled Caste share in 2001","baseline_covariate","SHRUG Census 2001 PCA","2001","percent","district","","","pre_treatment_context","control",TRUE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"st_share_2001","st_share_2001","Scheduled Tribe share in 2001","baseline_covariate","SHRUG Census 2001 PCA","2001","percent","district","","","pre_treatment_context","control",TRUE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"urban_share_2001","urban_share_2001","Urban population share in 2001","baseline_covariate","Census 2001 C-14 and SHRUG PCA","2001","percent","district","","","pre_treatment_context","control",TRUE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"worker_share_2001","worker_share_2001","Worker share in 2001","baseline_covariate","SHRUG Census 2001 PCA","2001","percent","district","","","pre_treatment_context","control",FALSE,"predetermined_relative_to_2007_treatment","","","variable_dictionary"
"private_share_enrolled_0708","private_share_enrolled_0708","Private enrollment share in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","enrolled children with known management","enrolled age-eligible children","institution_choice","descriptive_context",FALSE,"observed_schooling_margin","","","variable_dictionary"
"emi_share_enrolled_private_0708","emi_share_enrolled_private_0708","EMI share among private-school children in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","private-school children with known medium","enrolled private-school children","institutional_bundle","descriptive_context",FALSE,"observed_schooling_margin","","","variable_dictionary"
"emi_share_enrolled_private_aided_0708","emi_share_enrolled_private_aided_0708","EMI share among private-aided children in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","private-school children with known medium","enrolled private-school children","institutional_bundle","descriptive_context",FALSE,"observed_schooling_margin","","","variable_dictionary"
"emi_share_enrolled_private_unaided_0708","emi_share_enrolled_private_unaided_0708","EMI share among private-unaided children in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","private-school children with known medium","enrolled private-school children","institutional_bundle","descriptive_context",FALSE,"observed_schooling_margin","","","variable_dictionary"
"emi_share_enrolled_public_0708","emi_share_enrolled_public_0708","EMI share among public-school children in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","public-school children with known medium","enrolled public-school children","institutional_bundle","descriptive_context",FALSE,"observed_schooling_margin","","","variable_dictionary"
"private_emi_exposure_all_children_0708","private_emi_exposure_all_children_0708","Private EMI exposure among all children in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","age-eligible children","children age 5-19","institutional_bundle","descriptive_treatment",TRUE,"observed_schooling_margin","","","variable_dictionary"
"private_nonemi_exposure_all_children_0708","private_nonemi_exposure_all_children_0708","Private non-EMI exposure among all children in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","age-eligible children","children age 5-19","institutional_bundle","descriptive_context",FALSE,"observed_schooling_margin","","","variable_dictionary"
"public_emi_exposure_all_children_0708","public_emi_exposure_all_children_0708","Public EMI exposure among all children in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","age-eligible children","children age 5-19","institutional_bundle","descriptive_treatment",TRUE,"observed_schooling_margin","","","variable_dictionary"
"public_nonemi_exposure_all_children_0708","public_nonemi_exposure_all_children_0708","Public non-EMI exposure among all children in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","age-eligible children","children age 5-19","institutional_bundle","descriptive_context",FALSE,"observed_schooling_margin","","","variable_dictionary"
"unknown_management_share_enrolled_0708","unknown_management_share_enrolled_0708","Unknown school management among enrolled children","education","NSS 64th Round education survey","2007-08","percent","district","","","measurement_validation","coverage_diagnostic",FALSE,"measurement_only","","","variable_dictionary"
"unknown_medium_share_enrolled_0708","unknown_medium_share_enrolled_0708","Unknown medium among enrolled children","education","NSS 64th Round education survey","2007-08","percent","district","","","measurement_validation","coverage_diagnostic",FALSE,"measurement_only","","","variable_dictionary"
"unknown_school_classification_share_all_children_0708","unknown_school_classification_share_all_children_0708","Unknown school classification among all children","education","NSS 64th Round education survey","2007-08","percent","district","","","measurement_validation","coverage_diagnostic",FALSE,"measurement_only","","","variable_dictionary"
"enrollment_rate_0708","enrollment_rate_0708","Enrollment rate in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","age-eligible children","children age 5-19","schooling_access","descriptive_treatment",TRUE,"observed_schooling_margin","","","variable_dictionary"
"emi_exposure_all_children_0708","emi_exposure_all_children_0708","EMI exposure among all children in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","age-eligible children","children age 5-19","schooling_treatment","endogenous_treatment",TRUE,"observed_schooling_margin","emi_share_enrolled_0708","","variable_dictionary"
"emi_share_enrolled_0708","emi_share_enrolled_0708","EMI share among enrolled children in 2007-08","education","NSS 64th Round education survey","2007-08","percent","district","enrolled children with known medium","enrolled age-eligible children","schooling_treatment","endogenous_treatment",TRUE,"observed_schooling_margin","","","variable_dictionary"
"EMIE","EMIE","EMI exposure","education","NSS 2007-08","2007-08","percent","district","enrolled children with known medium","enrolled age-eligible children","schooling_treatment","endogenous_treatment",FALSE,"legacy_only","","emi_share_enrolled_0708","variable_dictionary"
"english_share_multilingual","english_share_multilingual","English acquisition among multilingual speakers","english_opportunity","census_2001_c17","2001","percent","state_language","Multilingual native-language speakers","Native-language speakers reporting at least one subsidiary language","capability_acquisition","linguistic_behavioral_mechanism",TRUE,"descriptive_mechanism","","","english_opportunity_measures"
"hindi_share_multilingual","hindi_share_multilingual","Hindi acquisition among multilingual speakers","english_opportunity","census_2001_c17","2001","percent","state_language","Multilingual native-language speakers","Native-language speakers reporting at least one subsidiary language","capability_acquisition","language_substitution",FALSE,"descriptive_mechanism","","","english_opportunity_measures"
"multilingual_share_native","multilingual_share_native","Multilingualism among native-language speakers","english_opportunity","census_2001_c17","2001","percent","state_language","Native-language speakers","Native-language speakers","capability_acquisition","multilingualism_placebo",FALSE,"descriptive_mechanism","","","english_opportunity_measures"
"dise_girls_toilet_school_share_0708","dise_girls_toilet_school_share_0708","Girls-toilet availability among schools in 2007-08","english_opportunity","dise","2007-08","percent","district","All schools","DISE 2007-08 district school stock","school_quality","complementarity",TRUE,"descriptive_mechanism","","","english_opportunity_measures"
"dise_single_teacher_school_share_0708","dise_single_teacher_school_share_0708","Single-teacher-school prevalence in 2007-08","english_opportunity","dise","2007-08","percent","district","All schools","DISE 2007-08 district school stock","school_quality","complementarity",TRUE,"descriptive_mechanism","","","english_opportunity_measures"
"dise_emi_enrollment_share_total_0708","dise_emi_enrollment_share_total_0708","Administrative English-medium enrollment composition","english_opportunity","dise","2007-08","percent","district","Total elementary enrollment","DISE district elementary enrollment","school_system_structure","formal_english_exposure",TRUE,"descriptive_mechanism","","","english_opportunity_measures"
"dise_private_school_share_0708","dise_private_school_share_0708","Private-school share of the school stock","english_opportunity","dise","2007-08","percent","district","All schools","DISE district school stock","school_system_structure","institutional_environment",TRUE,"descriptive_mechanism","","","english_opportunity_measures"
"banking_share_households_change_2011_2001","banking_share_households_change_2011_2001","Change in household banking access","household_living_standards","Census 2001/2011 housing tables","2001_to_2011","share_change","district","households","Census household counts on exact concept-matched 2001-to-2011 support","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_housing_mechanism_registry"
"bicycle_share_households_change_2011_2001","bicycle_share_households_change_2011_2001","Change in household bicycle ownership","household_living_standards","Census 2001/2011 housing tables","2001_to_2011","share_change","district","households","Census household counts on exact concept-matched 2001-to-2011 support","post_treatment_intermediate","outcome",FALSE,"post_treatment_descriptive_mechanism","","","census_housing_mechanism_registry"
"car_share_households_change_2011_2001","car_share_households_change_2011_2001","Change in household car ownership","household_living_standards","Census 2001/2011 housing tables","2001_to_2011","share_change","district","households","Census household counts on exact concept-matched 2001-to-2011 support","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_housing_mechanism_registry"
"electricity_share_households_change_2011_2001","electricity_share_households_change_2011_2001","Change in household electricity access","household_living_standards","Census 2001/2011 housing tables","2001_to_2011","share_change","district","households","Census household counts on exact concept-matched 2001-to-2011 support","post_treatment_intermediate","outcome",TRUE,"post_treatment_descriptive_mechanism","","","census_housing_mechanism_registry"
