"analysis_id","specification_id","sample","distance_basis","term","estimate","std.error","statistic","p.value","partial_r_squared","signed_partial_correlation","status","reason"
"c17_mechanism__english_linear","english_linear","all_states","shastry","shastry_degree",2.23376672632602,1.44799710194264,1.54265966646562,0.123120570961028,0.0248411952322104,0.157610898202537,"estimated",NA
"c17_mechanism__english_linear","english_linear","all_states","shastry","hindi_urdu_reference",16.0987696773917,6.03779284599401,2.66633355731524,0.00774929762185269,0.0870002405200383,0.29495803179442,"estimated",NA
"c17_mechanism__english_bins","english_bins","all_states","shastry","distance_bin0",12.5405386707985,8.04365279861146,1.55906016641635,0.119189764286652,0.0509827896070425,0.22579368814704,"estimated",NA
"c17_mechanism__english_bins","english_bins","all_states","shastry","distance_bin2",-14.3299734309832,9.5008417006374,-1.50828462177428,0.131688964686987,0.0457379705587347,-0.213864374215844,"estimated",NA
"c17_mechanism__english_bins","english_bins","all_states","shastry","distance_bin3",13.5014367110252,8.44740769899448,1.59829348743666,0.110184969407351,0.0412617065606341,0.203129777631528,"estimated",NA
"c17_mechanism__english_bins","english_bins","all_states","shastry","distance_bin4",8.66789147270148,9.57918638707965,0.904867190432026,0.3656787710053,0.0059125550558465,0.0768931404993092,"estimated",NA
"c17_mechanism__english_bins","english_bins","all_states","shastry","distance_bin5",4.77438762086669,8.46328372165496,0.564129453518199,0.572749041868355,0.00581763437202967,0.0762734185154282,"estimated",NA
"c17_mechanism__english_distant","english_distant","all_states","shastry","distance_distant",16.7265665620883,4.39385566515335,3.80680837896949,0.000146338964886371,0.127859805584092,0.357574895069679,"estimated",NA
"c17_mechanism__english_distant","english_distant","all_states","shastry","hindi_urdu_reference",20.197694433321,4.30628545748509,4.69028229380703,2.97184711212807e-06,0.212507858651923,0.460985746690636,"estimated",NA
"c17_mechanism__english_glottolog","english_glottolog","all_states","glottolog","glottolog_edge_distance",0.210119893486979,0.432900393264105,0.485376998395998,0.627482730170926,0.00221868611809633,0.0471029310987791,"estimated",NA
"c17_mechanism__english_glottolog","english_glottolog","all_states","glottolog","hindi_urdu_reference",11.7427075390016,5.77326442670875,2.03398054741378,0.0421364056290111,0.0390985133269607,0.197733440082756,"estimated",NA
"c17_mechanism__english_dyen","english_dyen","all_states","dyen","dyen_noncognate_pct",0.108218933861853,0.0781975587403257,1.38391703788633,0.166662561242688,0.0217045126371617,0.147324514718908,"estimated",NA
"c17_mechanism__english_dyen","english_dyen","all_states","dyen","hindi_urdu_reference",16.2051586652076,6.03781657392857,2.68394351944738,0.00738441009581741,0.0899467868144215,0.299911298244033,"estimated",NA
"c17_mechanism__hindi_linear","hindi_linear","all_states","shastry","shastry_degree",-9.69428153735181,2.5729941076883,-3.76770452306306,0.000171019121484572,0.0936540235038626,-0.306029448752669,"estimated",NA
"c17_mechanism__hindi_linear","hindi_linear","all_states","shastry","hindi_urdu_reference",-97.9859563386278,11.7368267201166,-8.34859018329734,1.52843007031341e-16,0.43190753582321,-0.65719672535947,"estimated",NA
"c17_mechanism__multilingual_linear","multilingual_linear","all_states","shastry","shastry_degree",-3.58141770358867,0.915661300753538,-3.91129088959134,9.5776625670111e-05,0.139419319442726,-0.373388965346762,"estimated",NA
"c17_mechanism__multilingual_linear","multilingual_linear","all_states","shastry","hindi_urdu_reference",-19.7140605537198,4.01973598030494,-4.90431726121084,1.03619260770226e-06,0.261186586283766,-0.511064170416755,"estimated",NA
"c17_mechanism__english_linear_males","english_linear_males","all_states","shastry","shastry_degree",2.32965456869047,1.44862334744472,1.60818515924089,0.108005636380804,0.0270718301341854,0.164535194211407,"estimated",NA
"c17_mechanism__english_linear_males","english_linear_males","all_states","shastry","hindi_urdu_reference",17.5565284922341,6.07124830069776,2.89174937717774,0.00388639829361323,0.103571363499759,0.321825051075517,"estimated",NA
"c17_mechanism__english_linear_females","english_linear_females","all_states","shastry","shastry_degree",2.01494244304171,1.45381895412166,1.38596517628913,0.165983246726094,0.0202254079650008,0.142216060854605,"estimated",NA
"c17_mechanism__english_linear_females","english_linear_females","all_states","shastry","hindi_urdu_reference",13.3977277900311,6.01433156893105,2.22763371730972,0.0260669615145101,0.0606204702388107,0.246212246321768,"estimated",NA
"c17_mechanism__english_linear_hindi_belt","english_linear_hindi_belt","hindi_belt","shastry","shastry_degree",-0.0372237088599906,2.94186256085145,-0.0126531094128399,0.98990918761647,6.59549299474435e-06,-0.00256816919122248,"estimated",NA
"c17_mechanism__english_linear_hindi_belt","english_linear_hindi_belt","hindi_belt","shastry","hindi_urdu_reference",-2.2000907884527,14.6791750871323,-0.149878366828753,0.880916130239804,0.0021340759499313,-0.0461960598961784,"estimated",NA
"c17_mechanism__english_distant_hindi_belt","english_distant_hindi_belt","hindi_belt","shastry","distance_distant",10.1647383647672,10.8071774086152,0.94055440939316,0.347350705324225,0.0455305826843526,0.213378964952857,"estimated",NA
"c17_mechanism__english_distant_hindi_belt","english_distant_hindi_belt","hindi_belt","shastry","hindi_urdu_reference",4.02976830947619,12.7064506053249,0.31714350723462,0.75125639085538,0.0107047034488601,0.103463536808192,"estimated",NA
"c17_mechanism__hindi_linear_hindi_belt","hindi_linear_hindi_belt","hindi_belt","shastry","shastry_degree",-9.02389306045869,5.32143210872757,-1.69576401165746,0.0905027448813848,0.121287426160881,-0.348263443618307,"estimated",NA
"c17_mechanism__hindi_linear_hindi_belt","hindi_linear_hindi_belt","hindi_belt","shastry","hindi_urdu_reference",-58.1191316809995,28.8120711862755,-2.01717992799783,0.0441674034055249,0.347025373729553,-0.589088595823712,"estimated",NA
