"analysis_id","specification_id","outcome","sex","sample","distance_basis","distance_form","n","n_states","n_languages","r.squared","adjusted.r.squared","status"
"c17_mechanism__english_linear","english_linear","english_share_multilingual","Persons","all_states","shastry","linear",1566,35,58,0.918277051816464,0.916243343872146,"estimated"
"c17_mechanism__english_bins","english_bins","english_share_multilingual","Persons","all_states","shastry","bins",1566,35,58,0.932377675675151,0.930558439915756,"estimated"
"c17_mechanism__english_distant","english_distant","english_share_multilingual","Persons","all_states","shastry","distant",1566,35,58,0.926910501583378,0.925091640457097,"estimated"
"c17_mechanism__english_glottolog","english_glottolog","english_share_multilingual","Persons","all_states","glottolog","linear",1480,35,57,0.919646209627469,0.917527233892454,"estimated"
"c17_mechanism__english_dyen","english_dyen","english_share_multilingual","Persons","all_states","dyen","linear",1147,35,45,0.923232141461531,0.920599308767974,"estimated"
"c17_mechanism__hindi_linear","hindi_linear","hindi_share_multilingual","Persons","all_states","shastry","linear",1566,35,58,0.828749690117504,0.824488058306413,"estimated"
"c17_mechanism__multilingual_linear","multilingual_linear","multilingual_share_native","Persons","all_states","shastry","linear",1587,35,58,0.933928577854666,0.932306669559108,"estimated"
"c17_mechanism__english_linear_males","english_linear_males","english_share_multilingual","Males","all_states","shastry","linear",1535,35,58,0.916300603961808,0.914174549784367,"estimated"
"c17_mechanism__english_linear_females","english_linear_females","english_share_multilingual","Females","all_states","shastry","linear",1408,35,58,0.919944696210564,0.91772256213898,"estimated"
"c17_mechanism__english_linear_hindi_belt","english_linear_hindi_belt","english_share_multilingual","Persons","hindi_belt","shastry","linear",560,12,58,0.943861333635897,0.94231339246777,"estimated"
"c17_mechanism__english_distant_hindi_belt","english_distant_hindi_belt","english_share_multilingual","Persons","hindi_belt","shastry","distant",560,12,58,0.946417006420319,0.944939534170879,"estimated"
"c17_mechanism__hindi_linear_hindi_belt","hindi_linear_hindi_belt","hindi_share_multilingual","Persons","hindi_belt","shastry","linear",560,12,58,0.939838446082201,0.938179579705791,"estimated"
